"","recoded_id","dob","birth_year","genetic_group","feed_group","cull_date","cull_reason","herd_life","sample_date","rltl","tel_sample_no","residual_rltl_t","residual_rltl_tminus1","diff_rltl_res","sample_interval","change_at_t_1","abs_diff_rlrl_res","age_d","age_m","age_y","live_wgt","cond_score","health_event_2week","health_event_fertil_all","health_event_mastitis_all","health_event_lame_all"
"11",2269,"29/10/2008",2008,"C",2,"22/07/2016","FOOT/LEG PROBLEMS","2823","24/03/2011",1.038883961,4,-0.011470464,"0.115828911","-0.127299375","149","-0.094866838","0.127299375",876,29,2,"NULL",3.5,0,"NULL","NULL","NULL"
"12",2269,"29/10/2008",2008,"C",2,"22/07/2016","FOOT/LEG PROBLEMS","2823","22/02/2012",1.257777466,5,0.180074539,"-0.011470464","0.191545003","335","-0.127299375","0.191545003",1211,40,3,"NULL",2.5,0,"NULL","NULL","NULL"
"13",2269,"29/10/2008",2008,"C",2,"22/07/2016","FOOT/LEG PROBLEMS","2823","22/02/2013",1.03318202,6,0.029431574,"0.180074539","-0.150642965","366","0.191545003","0.150642965",1577,52,4,"NULL",3,0,"NULL","NULL","NULL"
"14",2269,"29/10/2008",2008,"C",2,"22/07/2016","FOOT/LEG PROBLEMS","2823","16/10/2013",1.423943961,7,0.304790097,"0.029431574","0.275358523","236","-0.150642965","0.275358523",1813,59,5,"NULL",1.25,0,"NULL","NULL","NULL"
"15",2269,"29/10/2008",2008,"C",2,"22/07/2016","FOOT/LEG PROBLEMS","2823","28/05/2014",1.134081687,8,0.084021268,"0.304790097","-0.220768829","224","0.275358523","0.220768829",2037,67,6,"NULL",1.25,0,"NULL","NULL","NULL"
"16",1178,"12/02/2009",2009,"S",2,"NULL","NULL","NULL","20/02/2009",1.305019533,1,0.28492147,"NULL","NULL","NULL","NULL","NULL",8,0,0,"NULL",2.5,0,"NULL","NULL","NULL"
"17",1178,"12/02/2009",2009,"S",2,"NULL","NULL","NULL","16/03/2010",1.281397964,2,0.285042838,"0.28492147","0.000121369","389","NULL","0.000121369",397,13,1,"NULL",2.5,0,"NULL","NULL","NULL"
"18",1178,"12/02/2009",2009,"S",2,"NULL","NULL","NULL","25/03/2011",1.017856739,3,0.064044845,"0.285042838","-0.220997993","374","0.000121369","0.220997993",771,25,2,"NULL",1.75,0,"NULL","NULL","NULL"
"19",1178,"12/02/2009",2009,"S",2,"NULL","NULL","NULL","22/02/2012",1.094413134,4,0.039583406,"0.064044845","-0.024461439","334","-0.220997993","0.024461439",1105,36,3,"NULL",1.25,0,"NULL","NULL","NULL"
"20",1178,"12/02/2009",2009,"S",2,"NULL","NULL","NULL","22/02/2013",0.944339832,5,-0.105300621,"0.039583406","-0.144884028","366","-0.024461439","0.144884028",1471,48,4,"NULL",2.5,0,"NULL","NULL","NULL"
"21",1178,"12/02/2009",2009,"S",2,"NULL","NULL","NULL","19/08/2014",1.03272706,6,-0.075275198,"-0.105300621","0.030025423","543","-0.144884028","0.030025423",2014,66,6,"NULL",1.5,0,"NULL","NULL","NULL"
"22",1178,"12/02/2009",2009,"S",2,"NULL","NULL","NULL","16/12/2014",0.912621775,7,-0.046023914,"-0.075275198","0.029251284","119","0.030025423","0.029251284",2133,70,6,"NULL",1.75,0,"NULL","NULL","NULL"
"23",7908,"05/04/2009",2009,"S",2,"01/11/2016","FOOT/LEG PROBLEMS","2767","09/04/2009",1.223946676,1,0.083518657,"NULL","NULL","NULL","NULL","NULL",4,0,0,"NULL",2.5,0,"NULL","NULL","NULL"
"24",7908,"05/04/2009",2009,"S",2,"01/11/2016","FOOT/LEG PROBLEMS","2767","16/03/2010",0.975999769,2,-0.053396858,"0.083518657","-0.136915515","341","NULL","0.136915515",345,11,1,"NULL",2.5,0,"NULL","NULL","NULL"
"25",7908,"05/04/2009",2009,"S",2,"01/11/2016","FOOT/LEG PROBLEMS","2767","24/03/2011",0.989669397,3,-0.120157608,"-0.053396858","-0.06676075","373","-0.136915515","0.06676075",718,24,2,"NULL",2.5,0,"NULL","NULL","NULL"
"26",7908,"05/04/2009",2009,"S",2,"01/11/2016","FOOT/LEG PROBLEMS","2767","21/02/2012",0.964881689,4,-0.084703584,"-0.120157608","0.035454024","334","-0.06676075","0.035454024",1052,34,3,"NULL",2.5,0,"NULL","NULL","NULL"
"27",7908,"05/04/2009",2009,"S",2,"01/11/2016","FOOT/LEG PROBLEMS","2767","22/02/2013",1.095039116,5,-0.132545955,"-0.084703584","-0.047842371","367","0.035454024","0.047842371",1419,47,4,"NULL",2.25,0,"NULL","NULL","NULL"
"28",7908,"05/04/2009",2009,"S",2,"01/11/2016","FOOT/LEG PROBLEMS","2767","14/05/2014",1.386332986,6,0.214882139,"-0.132545955","0.347428093","446","-0.047842371","0.347428093",1865,61,5,"NULL",2.75,0,"NULL","NULL","NULL"
"29",7908,"05/04/2009",2009,"S",2,"01/11/2016","FOOT/LEG PROBLEMS","2767","16/12/2014",1.161967016,7,0.107137288,"0.214882139","-0.107744851","216","0.347428093","0.107744851",2081,68,6,"NULL",1.75,0,"NULL","NULL","NULL"
"30",10259,"04/06/2009",2009,"S",2,"25/04/2014","REPEAT BREEDER","1786","08/06/2009",1.053348267,1,0.003287848,"NULL","NULL","NULL","NULL","NULL",4,0,0,"477",2.5,0,"8","1","4"
"31",10259,"04/06/2009",2009,"S",2,"25/04/2014","REPEAT BREEDER","1786","16/03/2010",0.887475458,2,-0.186391054,"0.003287848","-0.189678902","281","NULL","0.189678902",285,9,1,"477",2.5,0,"8","1","4"
"32",10259,"04/06/2009",2009,"S",2,"25/04/2014","REPEAT BREEDER","1786","28/03/2011",1.212858589,3,0.06371757,"-0.186391054","0.250108624","377","-0.189678902","0.250108624",662,22,2,"477",2.5,0,"8","1","4"
"33",10259,"04/06/2009",2009,"S",2,"25/04/2014","REPEAT BREEDER","1786","22/02/2012",0.923541625,4,-0.058387923,"0.06371757","-0.122105492","331","0.250108624","0.122105492",993,33,3,"NULL",2,0,"8","1","4"
"34",10259,"04/06/2009",2009,"S",2,"25/04/2014","REPEAT BREEDER","1786","22/02/2013",0.9613359,5,-0.179092119,"-0.058387923","-0.120704196","366","-0.122105492","0.120704196",1359,45,4,"NULL",2,0,"8","1","4"
"35",10259,"04/06/2009",2009,"S",2,"25/04/2014","REPEAT BREEDER","1786","16/10/2013",1.060853592,6,-0.114434495,"-0.179092119","0.064657624","236","-0.120704196","0.064657624",1595,52,4,"NULL",2.25,0,"8","1","4"
"36",10259,"04/06/2009",2009,"S",2,"25/04/2014","REPEAT BREEDER","1786","23/04/2014",1.000142998,7,-0.043238924,"-0.114434495","0.071195571","189","0.064657624","0.071195571",1784,58,5,"NULL",2.25,0,"8","1","4"
"37",10001,"14/08/2009",2009,"S",2,"25/04/2014","REPEAT BREEDER","1715","19/08/2009",1.160745949,1,0.178816401,"NULL","NULL","NULL","NULL","NULL",5,0,0,"NULL",2.25,0,"5","0","4"
"38",10001,"14/08/2009",2009,"S",2,"25/04/2014","REPEAT BREEDER","1715","19/08/2009",1.470784061,1,0.383516977,"0.178816401","0.204700576","0","NULL","0.204700576",5,0,0,"NULL",2.25,0,"5","0","4"
"39",10001,"14/08/2009",2009,"S",2,"25/04/2014","REPEAT BREEDER","1715","16/03/2010",1.072345957,2,0.021403887,"0.383516977","-0.362113089","209","0.204700576","0.362113089",214,7,1,"NULL",2.25,0,"5","0","4"
"40",10001,"14/08/2009",2009,"S",2,"25/04/2014","REPEAT BREEDER","1715","28/03/2011",1.26344886,3,0.23334988,"0.021403887","0.211945992","377","-0.362113089","0.211945992",591,19,2,"NULL",2.25,0,"5","0","4"
"41",10001,"14/08/2009",2009,"S",2,"25/04/2014","REPEAT BREEDER","1715","20/02/2012",1.336413774,4,0.188182025,"0.23334988","-0.045167855","329","0.211945992","0.045167855",920,30,3,"NULL",1.75,1,"5","0","4"
"42",10001,"14/08/2009",2009,"S",2,"25/04/2014","REPEAT BREEDER","1715","21/02/2013",1.073590676,5,-0.000449795,"0.188182025","-0.18863182","367","-0.045167855","0.18863182",1287,42,4,"NULL",1.5,0,"5","0","4"
"43",10001,"14/08/2009",2009,"S",2,"25/04/2014","REPEAT BREEDER","1715","23/04/2014",1.076782582,6,0.048009695,"-0.000449795","0.04845949","426","-0.18863182","0.04845949",1713,56,5,"NULL",2,0,"5","0","4"
"44",3661,"25/08/2009",2009,"S",2,"11/08/2015","REPEAT BREEDER","2177","31/08/2009",1.441392266,1,0.267514335,"NULL","NULL","NULL","NULL","NULL",6,0,0,"NULL",2.25,0,"NULL","NULL","NULL"
"45",3661,"25/08/2009",2009,"S",2,"11/08/2015","REPEAT BREEDER","2177","16/03/2010",1.36930876,2,0.317252014,"0.267514335","0.049737679","197","NULL","0.049737679",203,7,1,"NULL",2.25,0,"NULL","NULL","NULL"
"46",3661,"25/08/2009",2009,"S",2,"11/08/2015","REPEAT BREEDER","2177","30/03/2011",1.254023402,3,0.136809417,"0.317252014","-0.180442598","379","0.049737679","0.180442598",582,19,2,"NULL",2.25,0,"NULL","NULL","NULL"
"47",3661,"25/08/2009",2009,"S",2,"11/08/2015","REPEAT BREEDER","2177","20/02/2012",1.003449278,4,-0.073593514,"0.136809417","-0.21040293","327","-0.180442598","0.21040293",909,30,2,"NULL",1.5,0,"NULL","NULL","NULL"
"48",3661,"25/08/2009",2009,"S",2,"11/08/2015","REPEAT BREEDER","2177","21/02/2013",1.109834578,5,0.06183744,"-0.073593514","0.135430953","367","-0.21040293","0.135430953",1276,42,3,"NULL",1.75,0,"NULL","NULL","NULL"
"49",3661,"25/08/2009",2009,"S",2,"11/08/2015","REPEAT BREEDER","2177","16/05/2014",1.227153656,6,0.054762316,"0.06183744","-0.007075123","449","0.135430953","0.007075123",1725,57,5,"NULL",1,0,"NULL","NULL","NULL"
"50",3661,"25/08/2009",2009,"S",2,"11/08/2015","REPEAT BREEDER","2177","16/12/2014",1.118824965,7,0.073719379,"0.054762316","0.018957062","214","-0.007075123","0.018957062",1939,64,5,"NULL",2.5,0,"NULL","NULL","NULL"
"51",1939,"03/02/2009",2009,"S",2,"NULL","NULL","NULL","09/02/2009",1.276800447,1,0.189533363,"NULL","NULL","NULL","NULL","NULL",6,0,0,"NULL",2.25,0,"NULL","NULL","NULL"
"52",1939,"03/02/2009",2009,"S",2,"NULL","NULL","NULL","16/03/2010",1.313274044,2,-0.01841067,"0.189533363","-0.207944033","400","NULL","0.207944033",406,13,1,"NULL",2.25,0,"NULL","NULL","NULL"
"53",1939,"03/02/2009",2009,"S",2,"NULL","NULL","NULL","05/07/2011",1.01568255,3,-0.083905249,"-0.01841067","-0.065494579","476","-0.207944033","0.065494579",882,29,2,"515",1.5,0,"NULL","NULL","NULL"
"54",1939,"03/02/2009",2009,"S",2,"NULL","NULL","NULL","20/02/2012",1.341071838,4,0.294437404,"-0.083905249","0.378342653","230","-0.065494579","0.378342653",1112,36,3,"NULL",2,0,"NULL","NULL","NULL"
"55",1939,"03/02/2009",2009,"S",2,"NULL","NULL","NULL","03/04/2013",1.007831131,5,-0.124151179,"0.294437404","-0.418588583","408","0.378342653","0.418588583",1520,50,4,"NULL",1.75,0,"NULL","NULL","NULL"
"56",1939,"03/02/2009",2009,"S",2,"NULL","NULL","NULL","28/05/2014",1.285210742,6,0.219845095,"-0.124151179","0.343996274","420","-0.418588583","0.343996274",1940,64,5,"NULL",2,0,"NULL","NULL","NULL"
"57",1939,"03/02/2009",2009,"S",2,"NULL","NULL","NULL","16/12/2014",1.120102221,7,0.064792963,"0.219845095","-0.155052131","202","0.343996274","0.155052131",2142,70,6,"NULL",1.75,0,"NULL","NULL","NULL"
"58",8287,"27/08/2009",2009,"C",2,"11/08/2016","MASTITIS","2541","31/08/2009",1.080045625,1,0.094863565,"NULL","NULL","NULL","NULL","NULL",4,0,0,"490",2.25,0,"NULL","NULL","NULL"
"59",8287,"27/08/2009",2009,"C",2,"11/08/2016","MASTITIS","2541","16/03/2010",1.052376564,2,0.118753316,"0.094863565","0.023889751","197","NULL","0.023889751",201,7,1,"490",2.25,0,"NULL","NULL","NULL"
"60",8287,"27/08/2009",2009,"C",2,"11/08/2016","MASTITIS","2541","28/03/2011",1.078690105,3,0.096760557,"0.118753316","-0.021992759","377","0.023889751","0.021992759",578,19,2,"490",2.25,0,"NULL","NULL","NULL"
"61",8287,"27/08/2009",2009,"C",2,"11/08/2016","MASTITIS","2541","22/02/2012",1.058503715,4,-0.0444907,"0.096760557","-0.141251258","331","-0.021992759","0.141251258",909,30,2,"NULL",2,0,"NULL","NULL","NULL"
"62",8287,"27/08/2009",2009,"C",2,"11/08/2016","MASTITIS","2541","22/02/2013",1.182703892,5,0.12849396,"-0.0444907","0.172984661","366","-0.141251258","0.172984661",1275,42,3,"NULL",3,0,"NULL","NULL","NULL"
"63",8287,"27/08/2009",2009,"C",2,"11/08/2016","MASTITIS","2541","16/10/2013",1.299757674,6,0.266546095,"0.12849396","0.138052134","236","0.172984661","0.138052134",1511,50,4,"NULL",1.75,0,"NULL","NULL","NULL"
"64",8287,"27/08/2009",2009,"C",2,"11/08/2016","MASTITIS","2541","12/05/2014",1.109731846,7,0.00801026,"0.266546095","-0.258535835","208","0.138052134","0.258535835",1719,56,5,"NULL",1.75,0,"NULL","NULL","NULL"
"65",533,"25/10/2008",2008,"C",2,"NULL","NULL","NULL","28/10/2008",1.15184998,1,0.101495555,"NULL","NULL","NULL","NULL","NULL",3,0,0,"NULL",2.25,0,"NULL","NULL","NULL"
"66",533,"25/10/2008",2008,"C",2,"NULL","NULL","NULL","16/03/2010",1.344860933,2,0.289889507,"0.101495555","0.188393952","504","NULL","0.188393952",507,17,1,"NULL",2.25,0,"NULL","NULL","NULL"
"67",533,"25/10/2008",2008,"C",2,"NULL","NULL","NULL","25/03/2011",1.47934624,3,0.398583457,"0.289889507","0.108693951","374","0.188393952","0.108693951",881,29,2,"NULL",2.75,0,"NULL","NULL","NULL"
"68",533,"25/10/2008",2008,"C",2,"NULL","NULL","NULL","20/02/2012",1.325130625,4,0.312688856,"0.398583457","-0.085894601","332","0.108693951","0.085894601",1213,40,3,"NULL",2.25,0,"NULL","NULL","NULL"
"69",533,"25/10/2008",2008,"C",2,"NULL","NULL","NULL","21/02/2013",1.46904977,5,0.355540762,"0.312688856","0.042851905","367","-0.085894601","0.042851905",1580,52,4,"NULL",2.5,0,"NULL","NULL","NULL"
"70",533,"25/10/2008",2008,"C",2,"NULL","NULL","NULL","16/05/2014",1.15126939,6,0.186331631,"0.355540762","-0.16920913","449","0.042851905","0.16920913",2029,67,6,"NULL",2,0,"NULL","NULL","NULL"
"71",533,"25/10/2008",2008,"C",2,"NULL","NULL","NULL","16/12/2014",1.128990276,7,0.116576138,"0.186331631","-0.069755493","214","-0.16920913","0.069755493",2243,74,6,"NULL",2,0,"NULL","NULL","NULL"
"72",7543,"18/02/2009",2009,"S",2,"09/11/2014","DIED","2090","22/02/2009",0.878305027,1,-0.199799524,"NULL","NULL","NULL","NULL","NULL",4,0,0,"NULL",2,0,"8","0","4"
"73",7543,"18/02/2009",2009,"S",2,"09/11/2014","DIED","2090","16/03/2010",0.84850722,2,-0.201553199,"-0.199799524","-0.001753675","387","NULL","0.001753675",391,13,1,"NULL",2,0,"8","0","4"
"74",7543,"18/02/2009",2009,"S",2,"09/11/2014","DIED","2090","24/03/2011",1.005546353,3,-0.054238208,"-0.201553199","0.147314991","373","-0.001753675","0.147314991",764,25,2,"NULL",2,0,"8","0","4"
"75",7543,"18/02/2009",2009,"S",2,"09/11/2014","DIED","2090","22/02/2012",0.704250085,4,-0.254947962,"-0.054238208","-0.200709754","335","0.147314991","0.200709754",1099,36,3,"NULL",1.5,0,"8","0","4"
"76",7543,"18/02/2009",2009,"S",2,"09/11/2014","DIED","2090","22/02/2013",0.894789102,5,-0.154796171,"-0.254947962","0.100151791","366","-0.200709754","0.100151791",1465,48,4,"NULL",1.5,0,"8","0","4"
"77",7543,"18/02/2009",2009,"S",2,"09/11/2014","DIED","2090","14/05/2014",0.823612572,6,-0.316898234,"-0.154796171","-0.162102063","446","0.100151791","0.162102063",1911,63,5,"NULL",1.75,1,"8","0","4"
"78",7543,"18/02/2009",2009,"S",2,"09/11/2014","DIED","2090","09/11/2014",0.96918747,7,-0.174213837,"-0.316898234","0.142684396","179","-0.162102063","0.142684396",2090,69,6,"NULL",1.5,1,"8","0","4"
"79",6236,"18/09/2008",2008,"C",2,"15/10/2015","REPEAT BREEDER","2583","25/09/2008",1.19783529,1,0.201480164,"NULL","NULL","NULL","NULL","NULL",7,0,0,"NULL",2.25,0,"NULL","NULL","NULL"
"80",6236,"18/09/2008",2008,"C",2,"15/10/2015","REPEAT BREEDER","2583","16/03/2010",1.064093344,2,-0.076417462,"0.201480164","-0.277897626","537","NULL","0.277897626",544,18,1,"NULL",2.25,0,"NULL","NULL","NULL"
"81",6236,"18/09/2008",2008,"C",2,"15/10/2015","REPEAT BREEDER","2583","24/03/2011",0.901966087,3,-0.14914365,"-0.076417462","-0.072726188","373","-0.277897626","0.072726188",917,30,3,"NULL",2,0,"NULL","NULL","NULL"
"82",6236,"18/09/2008",2008,"C",2,"15/10/2015","REPEAT BREEDER","2583","20/02/2012",1.096591065,4,0.014710134,"-0.14914365","0.163853784","333","-0.072726188","0.163853784",1250,41,3,"NULL",1.75,0,"NULL","NULL","NULL"
"83",6236,"18/09/2008",2008,"C",2,"15/10/2015","REPEAT BREEDER","2583","21/02/2013",0.942378771,5,-0.101003151,"0.014710134","-0.115713286","367","0.163853784","0.115713286",1617,53,4,"NULL",1.75,0,"NULL","NULL","NULL"
"84",6236,"18/09/2008",2008,"C",2,"15/10/2015","REPEAT BREEDER","2583","16/05/2014",0.798681399,6,-0.251673026,"-0.101003151","-0.150669875","449","-0.115713286","0.150669875",2066,68,6,"NULL",1.75,0,"NULL","NULL","NULL"
"85",6236,"18/09/2008",2008,"C",2,"15/10/2015","REPEAT BREEDER","2583","16/12/2014",1.101735776,7,-0.037636175,"-0.251673026","0.214036851","214","-0.150669875","0.214036851",2280,75,6,"NULL",2.5,0,"NULL","NULL","NULL"
"86",2298,"15/10/2008",2008,"C",2,"06/08/2015","MASTITIS","2486","20/10/2008",1.277522545,1,0.175800959,"NULL","NULL","NULL","NULL","NULL",5,0,0,"NULL",3,0,"7","0","0"
"87",2298,"15/10/2008",2008,"C",2,"06/08/2015","MASTITIS","2486","16/03/2010",1.24620575,2,0.07381441,"0.175800959","-0.101986549","512","NULL","0.101986549",517,17,1,"NULL",3,0,"7","0","0"
"88",2298,"15/10/2008",2008,"C",2,"06/08/2015","MASTITIS","2486","24/03/2011",1.18666017,3,0.137405071,"0.07381441","0.06359066","373","-0.101986549","0.06359066",890,29,2,"NULL",2.5,1,"7","0","0"
"89",2298,"15/10/2008",2008,"C",2,"06/08/2015","MASTITIS","2486","22/02/2012",0.97597831,4,-0.094775603,"0.137405071","-0.232180674","335","0.06359066","0.232180674",1225,40,3,"NULL",2.25,0,"7","0","0"
"90",2298,"15/10/2008",2008,"C",2,"06/08/2015","MASTITIS","2486","22/02/2013",1.200286406,5,0.146076474,"-0.094775603","0.240852077","366","-0.232180674","0.240852077",1591,52,4,"NULL",2.5,0,"7","0","0"
"91",2298,"15/10/2008",2008,"C",2,"06/08/2015","MASTITIS","2486","14/05/2014",1.324357479,6,0.269938411,"0.146076474","0.123861937","446","0.240852077","0.123861937",2037,67,6,"NULL",2.5,0,"7","0","0"
"92",2298,"15/10/2008",2008,"C",2,"06/08/2015","MASTITIS","2486","16/12/2014",0.942238007,7,-0.125294577,"0.269938411","-0.395232988","216","0.123861937","0.395232988",2253,74,6,"NULL",3.5,0,"7","0","0"
"93",2093,"19/03/2009",2009,"S",2,"NULL","NULL","NULL","02/04/2009",1.187818885,1,0.0706049,"NULL","NULL","NULL","NULL","NULL",14,0,0,"563",2.5,0,"NULL","NULL","NULL"
"94",2093,"19/03/2009",2009,"S",2,"NULL","NULL","NULL","16/03/2010",1.051211457,2,0.009825862,"0.0706049","-0.060779038","348","NULL","0.060779038",362,12,1,"563",2.5,0,"NULL","NULL","NULL"
"95",2093,"19/03/2009",2009,"S",2,"NULL","NULL","NULL","28/03/2011",1.040282933,3,-0.103118374,"0.009825862","-0.112944236","377","-0.060779038","0.112944236",739,24,2,"563",2.5,0,"NULL","NULL","NULL"
"96",2093,"19/03/2009",2009,"S",2,"NULL","NULL","NULL","23/02/2012",0.926370813,4,-0.068704809,"-0.103118374","0.034413565","332","-0.112944236","0.034413565",1071,35,3,"NULL",2,0,"NULL","NULL","NULL"
"97",2093,"19/03/2009",2009,"S",2,"NULL","NULL","NULL","03/04/2013",0.866704041,5,-0.122953322,"-0.068704809","-0.054248512","405","0.034413565","0.054248512",1476,48,4,"NULL",2.25,0,"NULL","NULL","NULL"
"98",2093,"19/03/2009",2009,"S",2,"NULL","NULL","NULL","14/05/2014",1.111409907,6,0.123221828,"-0.122953322","0.24617515","406","-0.054248512","0.24617515",1882,62,5,"NULL",2.25,0,"NULL","NULL","NULL"
"99",2093,"19/03/2009",2009,"S",2,"NULL","NULL","NULL","16/12/2014",0.936767297,7,-0.143013085,"0.123221828","-0.266234913","216","0.24617515","0.266234913",2098,69,6,"NULL",1.75,0,"NULL","NULL","NULL"
"100",4102,"03/04/2009",2009,"C",2,"04/10/2015","OTHER/SURPLUS","2375","09/04/2009",1.038173696,1,0.049985617,"NULL","NULL","NULL","NULL","NULL",6,0,0,"441",2.25,0,"NULL","NULL","NULL"
"101",4102,"03/04/2009",2009,"C",2,"04/10/2015","OTHER/SURPLUS","2375","16/03/2010",1.046522662,2,-0.033333451,"0.049985617","-0.083319068","341","NULL","0.083319068",347,11,1,"441",2.25,0,"NULL","NULL","NULL"
"102",4102,"03/04/2009",2009,"C",2,"04/10/2015","OTHER/SURPLUS","2375","28/03/2011",1.130042612,3,-0.113212221,"-0.033333451","-0.07987877","377","-0.083319068","0.07987877",724,24,2,"441",2.25,0,"NULL","NULL","NULL"
"103",4102,"03/04/2009",2009,"C",2,"04/10/2015","OTHER/SURPLUS","2375","20/02/2012",1.133792898,4,0.055688347,"-0.113212221","0.168900567","329","-0.07987877","0.168900567",1053,35,3,"NULL",2,0,"NULL","NULL","NULL"
"104",4102,"03/04/2009",2009,"C",2,"04/10/2015","OTHER/SURPLUS","2375","21/02/2013",1.275188434,5,0.157974449,"0.055688347","0.102286102","367","0.168900567","0.102286102",1420,47,4,"NULL",2.25,0,"NULL","NULL","NULL"
"105",4102,"03/04/2009",2009,"C",2,"04/10/2015","OTHER/SURPLUS","2375","28/05/2014",1.157562543,6,-0.03055399,"0.157974449","-0.188528439","461","0.102286102","0.188528439",1881,62,5,"NULL",2.25,0,"NULL","NULL","NULL"
"106",4102,"03/04/2009",2009,"C",2,"04/10/2015","OTHER/SURPLUS","2375","16/12/2014",1.081922945,7,0.006216345,"-0.03055399","0.036770335","202","-0.188528439","0.036770335",2083,68,6,"NULL",2.25,0,"NULL","NULL","NULL"
