,recoded_id,X,dob,birth_year,genetic_group,feed_group,amp_305_lactation,cull_date,cull_reason,cull_category,herd_life,sample_date,rltl,tel_sample_no,residual_rltl_t,residual_rltl_tminus1,diff_rltl_res,sample_interval,change_at_t_1,abs_diff_rltl_res,age_d,age_m,age_y,live_wgt,cond_score,health_event_2week,health_event_fertil_all,health_event_mastitis_all,health_event_lame_all,sample_year,average_resid,rltl_change,abs_rltl_change,AgeGroup,av_rltl_1_res,SamplesPerAnimal,Animal_No,atrr_rate_per_year
121,10936,591,25/11/2011,2011,C,NULL,NULL,21/11/2013,REPRODUCTIVE DISORDER,Fertility & Reproduction,727,29/11/2011,1.028322388,1,-0.022787349,NULL,NULL,NULL,NULL,NULL,4,0,0,NULL,NULL,0,NULL,NULL,NULL,2011,-0.038200028,-0.030825357,0.030825357,young,-0.053612706,2,303,NULL
122,10936,592,25/11/2011,2011,C,NULL,NULL,21/11/2013,REPRODUCTIVE DISORDER,Fertility & Reproduction,727,07/03/2013,1.082831621,2,-0.053612706,-0.022787349,-0.030825357,464,NULL,0.030825357,468,15,1,NULL,NULL,0,NULL,NULL,NULL,2013,-0.038200028,-0.030825357,0.030825357,older,-0.053612706,2,303,-0.024248395
118,10846,789,16/12/2011,2011,C,NULL,3714.1,16/02/2015,NULL,Reason unknown,1158,20/12/2011,0.860032874,1,-0.157504949,NULL,NULL,NULL,NULL,NULL,4,0,0,NULL,NULL,0,1,0,0,2011,-0.155190574,-0.008593132,0.03272252,young,-0.133375561,3,302,NULL
119,10846,790,16/12/2011,2011,C,NULL,3714.1,16/02/2015,NULL,Reason unknown,1158,07/03/2013,1.084233091,2,-0.133375561,-0.157504949,0.024129388,443,NULL,0.024129388,447,15,1,NULL,NULL,0,1,0,0,2013,-0.155190574,-0.008593132,0.03272252,older,-0.133375561,3,302,0.019880873
120,10846,791,16/12/2011,2011,C,NULL,3714.1,16/02/2015,NULL,Reason unknown,1158,12/05/2014,0.957291098,3,-0.174691212,-0.133375561,-0.041315651,431,0.024129388,0.041315651,878,29,2,NULL,NULL,0,1,0,0,2014,-0.155190574,-0.008593132,0.03272252,older,-0.133375561,3,302,-0.034988892
114,10760,926,04/01/2011,2011,S,1,7636.133333,NULL,NULL,NULL,NULL,06/01/2011,1.011026415,1,-0.004237853,NULL,NULL,NULL,NULL,NULL,2,0,0,NULL,2.25,0,NULL,NULL,NULL,2011,-0.070314291,-0.02250344,0.112103491,young,-0.169835606,4,301,NULL
115,10760,927,04/01/2011,2011,S,1,7636.133333,NULL,NULL,NULL,NULL,23/03/2012,0.986126859,2,-0.169835606,-0.004237853,-0.165597753,442,NULL,0.165597753,444,15,1,NULL,2.25,0,NULL,NULL,NULL,2012,-0.070314291,-0.02250344,0.112103491,older,-0.169835606,4,301,-0.136749276
116,10760,928,04/01/2011,2011,S,1,7636.133333,NULL,NULL,NULL,NULL,27/02/2013,1.078073478,3,-0.03543553,-0.169835606,0.134400076,341,-0.165597753,0.134400076,785,26,2,NULL,1.75,0,NULL,NULL,NULL,2013,-0.070314291,-0.02250344,0.112103491,older,-0.169835606,4,301,0.143859319
117,10760,929,04/01/2011,2011,S,1,7636.133333,NULL,NULL,NULL,NULL,15/05/2014,0.988962964,4,-0.071748174,-0.03543553,-0.036312644,442,0.134400076,0.036312644,1227,40,3,NULL,2,0,NULL,NULL,NULL,2014,-0.070314291,-0.02250344,0.112103491,older,-0.169835606,4,301,-0.029986686
110,10742,1110,03/07/2011,2011,S,1,5167.45,01/09/2014,FOOT/LEG PROBLEMS,Lameness,1156,08/07/2011,1.500008373,1,0.380854509,NULL,NULL,NULL,NULL,NULL,5,0,0,NULL,2.25,0,1,0,1,2011,0.124901953,-0.07766655,0.190855303,young,-0.021928271,4,300,NULL
111,10742,1111,03/07/2011,2011,S,1,5167.45,01/09/2014,FOOT/LEG PROBLEMS,Lameness,1156,23/03/2012,1.125553183,2,-0.021928271,0.380854509,-0.40278278,259,NULL,0.40278278,264,9,1,NULL,2.25,0,1,0,1,2012,0.124901953,-0.07766655,0.190855303,young,-0.021928271,4,300,-0.567628242
112,10742,1112,03/07/2011,2011,S,1,5167.45,01/09/2014,FOOT/LEG PROBLEMS,Lameness,1156,13/03/2013,1.13238364,3,-0.007173286,-0.021928271,0.014754985,355,-0.40278278,0.014754985,619,20,2,NULL,2.25,0,1,0,1,2013,0.124901953,-0.07766655,0.190855303,older,-0.021928271,4,300,0.015170618
113,10742,1113,03/07/2011,2011,S,1,5167.45,01/09/2014,FOOT/LEG PROBLEMS,Lameness,1156,28/05/2014,1.262636696,4,0.147854858,-0.007173286,0.155028144,441,0.014754985,0.155028144,1060,35,3,NULL,2,0,1,0,1,2014,0.124901953,-0.07766655,0.190855303,older,-0.021928271,4,300,0.128311276
106,10729,985,11/12/2008,2008,C,NULL,651.3,16/11/2012,OTHER/SURPLUS,Herd management,1436,16/12/2008,1.556167693,1,0.473626357,NULL,NULL,NULL,NULL,NULL,5,0,0,NULL,NULL,0,NULL,NULL,NULL,2008,0.135548907,-0.187512063,0.187512063,young,0.082551494,4,299,NULL
107,10729,986,11/12/2008,2008,C,NULL,651.3,16/11/2012,OTHER/SURPLUS,Herd management,1436,16/03/2010,1.106369548,2,0.082551494,0.473626357,-0.391074864,455,NULL,0.391074864,460,15,1,NULL,NULL,0,NULL,NULL,NULL,2010,0.135548907,-0.187512063,0.187512063,older,0.082551494,4,299,-0.313719396
108,10729,987,11/12/2008,2008,C,NULL,651.3,16/11/2012,OTHER/SURPLUS,Herd management,1436,28/02/2011,1.157820591,3,0.07492761,0.082551494,-0.007623884,349,-0.391074864,0.007623884,809,27,2,NULL,NULL,0,NULL,NULL,NULL,2011,0.135548907,-0.187512063,0.187512063,older,0.082551494,4,299,-0.007973403
109,10729,988,11/12/2008,2008,C,NULL,651.3,16/11/2012,OTHER/SURPLUS,Herd management,1436,27/02/2012,0.990946281,4,-0.088909832,0.07492761,-0.163837442,364,-0.007623884,0.163837442,1173,38,3,NULL,NULL,0,NULL,NULL,NULL,2012,0.135548907,-0.187512063,0.187512063,older,0.082551494,4,299,-0.164287545
102,10723,1122,01/02/2012,2012,C,1,7925,16/11/2014,DIED,Died,1019,03/02/2012,1.44592433,1,0.249279301,NULL,NULL,NULL,NULL,NULL,2,0,0,NULL,2.25,0,1,0,0,2012,0.040180698,-0.087069234,0.119686307,young,-0.015774097,4,298,NULL
103,10723,1123,01/02/2012,2012,C,1,7925,16/11/2014,DIED,Died,1019,07/03/2013,0.99981632,2,-0.015774097,0.249279301,-0.265053398,398,NULL,0.265053398,400,13,1,NULL,2.25,0,1,0,0,2013,0.040180698,-0.087069234,0.119686307,older,-0.015774097,4,298,-0.243076609
104,10723,1124,01/02/2012,2012,C,1,7925,16/11/2014,DIED,Died,1019,13/05/2014,1.12716367,3,-0.06085401,-0.015774097,-0.045079913,432,-0.265053398,0.045079913,832,27,2,NULL,2.25,1,1,0,0,2014,0.040180698,-0.087069234,0.119686307,older,-0.015774097,4,298,-0.038088352
105,10723,1125,01/02/2012,2012,C,1,7925,16/11/2014,DIED,Died,1019,16/11/2014,1.105898107,4,-0.011928401,-0.06085401,0.048925609,187,-0.045079913,0.048925609,1019,33,3,NULL,2.5,0,1,0,0,2014,0.040180698,-0.087069234,0.119686307,older,-0.015774097,4,298,0.09549651
97,10654,667,05/10/2009,2009,S,2,7717.1,10/07/2014,REPEAT BREEDER,Fertility & Reproduction,1739,14/10/2009,1.392431311,1,0.268007148,NULL,NULL,NULL,NULL,NULL,9,0,0,NULL,2,0,8,0,0,2009,-0.02541813,-0.126056828,0.164965881,young,-0.081507928,5,297,NULL
98,10654,668,05/10/2009,2009,S,2,7717.1,10/07/2014,REPEAT BREEDER,Fertility & Reproduction,1739,28/03/2011,1.028319077,2,-0.081507928,0.268007148,-0.349515076,530,NULL,0.349515076,539,18,1,NULL,2,0,8,0,0,2011,-0.02541813,-0.126056828,0.164965881,older,-0.081507928,5,297,-0.240703779
99,10654,669,05/10/2009,2009,S,2,7717.1,10/07/2014,REPEAT BREEDER,Fertility & Reproduction,1739,20/02/2012,0.988012401,3,-0.073679884,-0.081507928,0.007828044,329,-0.349515076,0.007828044,868,28,2,NULL,1.75,0,8,0,0,2012,-0.02541813,-0.126056828,0.164965881,older,-0.081507928,5,297,0.008684608
100,10654,670,05/10/2009,2009,S,2,7717.1,10/07/2014,REPEAT BREEDER,Fertility & Reproduction,1739,21/02/2013,1.076090561,4,-0.003689821,-0.073679884,0.069990063,367,0.007828044,0.069990063,1235,40,3,NULL,2,0,8,0,0,2013,-0.02541813,-0.126056828,0.164965881,older,-0.081507928,5,297,0.069608646
101,10654,671,05/10/2009,2009,S,2,7717.1,10/07/2014,REPEAT BREEDER,Fertility & Reproduction,1739,10/07/2014,0.850638043,5,-0.236220163,-0.003689821,-0.232530342,504,0.069990063,0.232530342,1739,57,5,NULL,2.5,0,8,0,0,2014,-0.02541813,-0.126056828,0.164965881,older,-0.081507928,5,297,-0.16839995
95,10651,770,07/04/2011,2011,C,NULL,NULL,24/01/2013,ACCIDENT,Accident,658,12/04/2011,1.402469836,1,0.214452156,NULL,NULL,NULL,NULL,NULL,5,0,0,NULL,NULL,0,NULL,NULL,NULL,2011,0.085346232,-0.258211849,0.258211849,young,-0.043759693,2,296,NULL
96,10651,771,07/04/2011,2011,C,NULL,NULL,24/01/2013,ACCIDENT,Accident,658,23/03/2012,1.066238892,2,-0.043759693,0.214452156,-0.258211849,346,NULL,0.258211849,351,12,1,NULL,NULL,0,NULL,NULL,NULL,2012,0.085346232,-0.258211849,0.258211849,young,-0.043759693,2,296,-0.272391112
89,10639,1162,19/02/2009,2009,S,1,10968.7,NULL,NULL,NULL,NULL,22/02/2009,1.271205937,1,0.23614098,NULL,NULL,NULL,NULL,NULL,3,0,0,NULL,2,0,NULL,NULL,NULL,2009,0.019160053,-0.026792976,0.125835733,young,0.106327,6,295,NULL
90,10639,1163,19/02/2009,2009,S,1,10968.7,NULL,NULL,NULL,NULL,16/03/2010,1.253808454,2,0.106327,0.23614098,-0.12981398,387,NULL,0.12981398,390,13,1,NULL,2,0,NULL,NULL,NULL,2010,0.019160053,-0.026792976,0.125835733,older,0.106327,6,295,-0.122434374
91,10639,1164,19/02/2009,2009,S,1,10968.7,NULL,NULL,NULL,NULL,05/07/2011,0.913470922,3,-0.077613905,0.106327,-0.183940905,476,-0.12981398,0.183940905,866,28,2,538,NULL,0,NULL,NULL,NULL,2011,0.019160053,-0.026792976,0.125835733,older,0.106327,6,295,-0.141047123
92,10639,1165,19/02/2009,2009,S,1,10968.7,NULL,NULL,NULL,NULL,16/02/2012,0.994997227,4,-0.145430792,-0.077613905,-0.067816887,226,-0.183940905,0.067816887,1092,36,3,NULL,1.75,0,NULL,NULL,NULL,2012,0.019160053,-0.026792976,0.125835733,older,0.106327,6,295,-0.109527273
93,10639,1166,19/02/2009,2009,S,1,10968.7,NULL,NULL,NULL,NULL,27/02/2013,0.848529628,5,-0.106639062,-0.145430792,0.03879173,377,-0.067816887,0.03879173,1469,48,4,NULL,2,0,NULL,NULL,NULL,2013,0.019160053,-0.026792976,0.125835733,older,0.106327,6,295,0.03755698
94,10639,1167,19/02/2009,2009,S,1,10968.7,NULL,NULL,NULL,NULL,15/05/2014,1.127471987,6,0.102176099,-0.106639062,0.208815161,442,0.03879173,0.208815161,1911,63,5,NULL,2.25,0,NULL,NULL,NULL,2014,0.019160053,-0.026792976,0.125835733,older,0.106327,6,295,0.172437859
87,10595,1255,24/05/2010,2010,C,NULL,NULL,12/09/2011,OTHER/SURPLUS,Herd management,476,27/05/2010,1.064716434,1,0.049452166,NULL,NULL,NULL,NULL,NULL,3,0,0,NULL,NULL,0,NULL,NULL,NULL,2010,-0.05518696,-0.209278251,0.209278251,young,-0.159826085,2,294,NULL
88,10595,1256,24/05/2010,2010,C,NULL,NULL,12/09/2011,OTHER/SURPLUS,Herd management,476,14/04/2011,0.822103463,2,-0.159826085,0.049452166,-0.209278251,322,NULL,0.209278251,325,11,1,NULL,NULL,0,NULL,NULL,NULL,2011,-0.05518696,-0.209278251,0.209278251,young,-0.159826085,2,294,-0.237225347
82,10533,1193,16/05/2009,2009,S,1,6792.975,07/12/2012,MASTITIS,Mastitis,1301,19/05/2009,1.371926136,1,0.23141533,NULL,NULL,NULL,NULL,NULL,3,0,0,459,NULL,0,2,0,4,2009,0.089647263,0.001934396,0.209232643,young,-0.036426113,5,293,NULL
83,10533,1194,16/05/2009,2009,S,1,6792.975,07/12/2012,MASTITIS,Mastitis,1301,16/03/2010,1.063161686,2,-0.036426113,0.23141533,-0.267841443,301,NULL,0.267841443,304,10,1,459,NULL,0,2,0,4,2010,0.089647263,0.001934396,0.209232643,young,-0.036426113,5,293,-0.324791119
84,10533,1195,16/05/2009,2009,S,1,6792.975,07/12/2012,MASTITIS,Mastitis,1301,28/03/2011,1.07238764,3,0.080424617,-0.036426113,0.11685073,377,-0.267841443,0.11685073,681,22,2,459,NULL,0,2,0,4,2011,0.089647263,0.001934396,0.209232643,older,-0.036426113,5,293,0.113131343
85,10533,1196,16/05/2009,2009,S,1,6792.975,07/12/2012,MASTITIS,Mastitis,1301,17/02/2012,1.033257366,4,-0.066330433,0.080424617,-0.14675505,326,0.11685073,0.14675505,1007,33,3,NULL,2.5,0,2,0,4,2012,0.089647263,0.001934396,0.209232643,older,-0.036426113,5,293,-0.164311636
86,10533,1197,16/05/2009,2009,S,1,6792.975,07/12/2012,MASTITIS,Mastitis,1301,07/12/2012,1.338740714,5,0.239152915,-0.066330433,0.305483348,294,-0.14675505,0.305483348,1301,43,4,NULL,2.25,0,2,0,4,2012,0.089647263,0.001934396,0.209232643,older,-0.036426113,5,293,0.379256537
75,10482,181,15/09/2011,2011,C,NULL,NULL,21/11/2013,REPRODUCTIVE DISORDER,Fertility & Reproduction,798,23/09/2011,0.864816233,1,-0.159122859,NULL,NULL,NULL,NULL,NULL,8,0,0,NULL,NULL,0,NULL,NULL,NULL,2011,-0.001458155,0.315329408,0.315329408,young,0.15620655,2,292,NULL
76,10482,182,15/09/2011,2011,C,NULL,NULL,21/11/2013,REPRODUCTIVE DISORDER,Fertility & Reproduction,798,07/03/2013,1.197592145,2,0.15620655,-0.159122859,0.315329408,531,NULL,0.315329408,539,18,1,NULL,NULL,0,NULL,NULL,NULL,2013,-0.001458155,0.315329408,0.315329408,older,0.15620655,2,292,0.216751853
69,10429,630,03/03/2009,2009,C,NULL,609.2,27/06/2014,NULL,Reason unknown,1942,10/03/2009,1.152205387,1,0.102620114,NULL,NULL,NULL,NULL,NULL,7,0,0,NULL,NULL,0,NULL,NULL,NULL,2009,-0.038570439,-0.03349228,0.108761537,young,-0.099619532,6,291,NULL
70,10429,631,03/03/2009,2009,C,NULL,609.2,27/06/2014,NULL,Reason unknown,1942,16/03/2010,0.965647262,2,-0.099619532,0.102620114,-0.202239646,371,NULL,0.202239646,378,12,1,NULL,NULL,0,NULL,NULL,NULL,2010,-0.038570439,-0.03349228,0.108761537,older,-0.099619532,6,291,-0.198968924
71,10429,632,03/03/2009,2009,C,NULL,609.2,27/06/2014,NULL,Reason unknown,1942,06/04/2011,1.00426397,3,-0.087864535,-0.099619532,0.011754997,386,-0.202239646,0.011754997,764,25,2,NULL,NULL,0,NULL,NULL,NULL,2011,-0.038570439,-0.03349228,0.108761537,older,-0.099619532,6,291,0.011115476
72,10429,633,03/03/2009,2009,C,NULL,609.2,27/06/2014,NULL,Reason unknown,1942,27/02/2012,0.988658632,4,-0.129067768,-0.087864535,-0.041203233,327,0.011754997,0.041203233,1091,36,3,NULL,NULL,0,NULL,NULL,NULL,2012,-0.038570439,-0.03349228,0.108761537,older,-0.099619532,6,291,-0.045991376
73,10429,634,03/03/2009,2009,C,NULL,609.2,27/06/2014,NULL,Reason unknown,1942,11/03/2013,1.290605209,5,0.047350376,-0.129067768,0.176418144,378,-0.041203233,0.176418144,1469,48,4,NULL,NULL,0,NULL,NULL,NULL,2013,-0.038570439,-0.03349228,0.108761537,older,-0.099619532,6,291,0.170350853
74,10429,635,03/03/2009,2009,C,NULL,609.2,27/06/2014,NULL,Reason unknown,1942,04/06/2014,0.996370738,6,-0.064841287,0.047350376,-0.112191663,450,0.176418144,0.112191663,1919,63,5,NULL,NULL,0,NULL,NULL,NULL,2014,-0.038570439,-0.03349228,0.108761537,older,-0.099619532,6,291,-0.090999904
64,10420,614,05/12/2008,2008,S,2,8335.775,05/05/2016,REPEAT BREEDER,Fertility & Reproduction,2708,16/03/2010,0.983017577,2,-0.066567696,NULL,NULL,NULL,NULL,NULL,466,15,1,NULL,2.25,0,NULL,NULL,NULL,2010,-0.092476829,0.025429845,0.113181001,older,-0.066567696,5,290,NULL
65,10420,615,05/12/2008,2008,S,2,8335.775,05/05/2016,REPEAT BREEDER,Fertility & Reproduction,2708,24/03/2011,0.79398588,3,-0.221604537,-0.066567696,-0.155036841,373,NULL,0.155036841,839,28,2,NULL,2,0,NULL,NULL,NULL,2011,-0.092476829,0.025429845,0.113181001,older,-0.066567696,5,290,-0.151711654
66,10420,616,05/12/2008,2008,S,2,8335.775,05/05/2016,REPEAT BREEDER,Fertility & Reproduction,2708,20/02/2012,0.988788664,4,-0.094449063,-0.221604537,0.127155474,333,-0.155036841,0.127155474,1172,38,3,NULL,2,0,NULL,NULL,NULL,2012,-0.092476829,0.025429845,0.113181001,older,-0.066567696,5,290,0.139374619
67,10420,617,05/12/2008,2008,S,2,8335.775,05/05/2016,REPEAT BREEDER,Fertility & Reproduction,2708,03/04/2013,0.946612957,5,-0.114914534,-0.094449063,-0.020465471,408,0.127155474,0.020465471,1580,52,4,NULL,1.75,0,NULL,NULL,NULL,2013,-0.092476829,0.025429845,0.113181001,older,-0.066567696,5,290,-0.018308571
68,10420,618,05/12/2008,2008,S,2,8335.775,05/05/2016,REPEAT BREEDER,Fertility & Reproduction,2708,16/05/2014,1.209029616,6,0.035151685,-0.114914534,0.150066219,408,-0.020465471,0.150066219,1988,65,5,NULL,3.25,0,NULL,NULL,NULL,2014,-0.092476829,0.025429845,0.113181001,older,-0.066567696,5,290,0.134250417
56,10324,804,19/12/2008,2008,S,2,234.2,26/05/2011,FOOT/LEG PROBLEMS,Lameness,888,22/12/2008,1.255660592,1,0.204550855,NULL,NULL,NULL,NULL,NULL,3,0,0,NULL,2.25,0,NULL,NULL,NULL,2008,0.037540862,-0.334019987,0.334019987,young,-0.129469132,2,289,NULL
57,10324,805,19/12/2008,2008,S,2,234.2,26/05/2011,FOOT/LEG PROBLEMS,Lameness,888,16/03/2010,0.89446996,2,-0.129469132,0.204550855,-0.334019987,449,NULL,0.334019987,452,15,1,NULL,2.25,0,NULL,NULL,NULL,2010,0.037540862,-0.334019987,0.334019987,older,-0.129469132,2,289,-0.271530724
52,10284,1006,05/06/2009,2009,C,2,6424.9,16/07/2012,REPEAT BREEDER,Fertility & Reproduction,1137,08/06/2009,1.230753891,1,0.00316882,NULL,NULL,NULL,NULL,NULL,3,0,0,505,2.5,0,4,0,1,2009,-0.055400427,-0.016248609,0.064728293,young,-0.060896989,4,288,NULL
53,10284,1007,05/06/2009,2009,C,2,6424.9,16/07/2012,REPEAT BREEDER,Fertility & Reproduction,1137,16/03/2010,1.138896689,2,-0.060896989,0.00316882,-0.064065809,281,NULL,0.064065809,284,9,1,505,2.5,0,4,0,1,2010,-0.055400427,-0.016248609,0.064728293,young,-0.060896989,4,288,-0.083217154
54,10284,1008,05/06/2009,2009,C,2,6424.9,16/07/2012,REPEAT BREEDER,Fertility & Reproduction,1137,28/03/2011,1.025362922,3,-0.118296532,-0.060896989,-0.057399544,377,-0.064065809,0.057399544,661,22,2,505,2.5,0,4,0,1,2011,-0.055400427,-0.016248609,0.064728293,older,-0.060896989,4,288,-0.055572503
55,10284,1009,05/06/2009,2009,C,2,6424.9,16/07/2012,REPEAT BREEDER,Fertility & Reproduction,1137,20/02/2012,1.078847156,4,-0.045577007,-0.118296532,0.072719526,329,-0.057399544,0.072719526,990,32,3,NULL,2,0,4,0,1,2012,-0.055400427,-0.016248609,0.064728293,older,-0.060896989,4,288,0.080676678
45,10259,246,04/06/2009,2009,S,2,6560.275,25/04/2014,REPEAT BREEDER,Fertility & Reproduction,1786,08/06/2009,1.053348267,1,0.003287848,NULL,NULL,NULL,NULL,NULL,4,0,0,477,2.5,0,8,1,4,2009,-0.073505585,-0.007754462,0.136408402,young,-0.186391054,7,287,NULL
46,10259,247,04/06/2009,2009,S,2,6560.275,25/04/2014,REPEAT BREEDER,Fertility & Reproduction,1786,16/03/2010,0.887475458,2,-0.186391054,0.003287848,-0.189678902,281,NULL,0.189678902,285,9,1,477,2.5,0,8,1,4,2010,-0.073505585,-0.007754462,0.136408402,young,-0.186391054,7,287,-0.246380068
47,10259,248,04/06/2009,2009,S,2,6560.275,25/04/2014,REPEAT BREEDER,Fertility & Reproduction,1786,28/03/2011,1.212858589,3,0.06371757,-0.186391054,0.250108624,377,-0.189678902,0.250108624,662,22,2,477,2.5,0,8,1,4,2011,-0.073505585,-0.007754462,0.136408402,older,-0.186391054,7,287,0.242147607
48,10259,249,04/06/2009,2009,S,2,6560.275,25/04/2014,REPEAT BREEDER,Fertility & Reproduction,1786,22/02/2012,0.923541625,4,-0.058387923,0.06371757,-0.122105492,331,0.250108624,0.122105492,993,33,3,NULL,2,0,8,1,4,2012,-0.073505585,-0.007754462,0.136408402,older,-0.186391054,7,287,-0.13464805
49,10259,250,04/06/2009,2009,S,2,6560.275,25/04/2014,REPEAT BREEDER,Fertility & Reproduction,1786,22/02/2013,0.9613359,5,-0.179092119,-0.058387923,-0.120704196,366,-0.122105492,0.120704196,1359,45,4,NULL,2,0,8,1,4,2013,-0.073505585,-0.007754462,0.136408402,older,-0.186391054,7,287,-0.120374403
50,10259,251,04/06/2009,2009,S,2,6560.275,25/04/2014,REPEAT BREEDER,Fertility & Reproduction,1786,16/10/2013,1.060853592,6,-0.114434495,-0.179092119,0.064657624,236,-0.120704196,0.064657624,1595,52,4,NULL,2.25,0,8,1,4,2013,-0.073505585,-0.007754462,0.136408402,older,-0.186391054,7,287,0.100000139
51,10259,252,04/06/2009,2009,S,2,6560.275,25/04/2014,REPEAT BREEDER,Fertility & Reproduction,1786,23/04/2014,1.000142998,7,-0.043238924,-0.114434495,0.071195571,189,0.064657624,0.071195571,1784,58,5,NULL,2.25,0,8,1,4,2014,-0.073505585,-0.007754462,0.136408402,older,-0.186391054,7,287,0.137494092
35,10183,493,22/02/2010,2010,S,1,6967.2,07/07/2014,FOOT/LEG PROBLEMS,Lameness,1596,26/02/2010,1.222456885,1,0.084441731,NULL,NULL,NULL,NULL,NULL,4,0,0,NULL,2.25,0,6,0,5,2010,0.002091521,-0.025614386,0.049564791,young,0.029255536,5,286,NULL
36,10183,494,22/02/2010,2010,S,1,6967.2,07/07/2014,FOOT/LEG PROBLEMS,Lameness,1596,14/04/2011,1.141407307,2,0.029255536,0.084441731,-0.055186195,412,NULL,0.055186195,416,14,1,NULL,2.25,0,6,0,5,2011,0.002091521,-0.025614386,0.049564791,older,0.029255536,5,286,-0.048890682
37,10183,495,22/02/2010,2010,S,1,6967.2,07/07/2014,FOOT/LEG PROBLEMS,Lameness,1596,27/03/2012,1.15214362,3,-0.019307227,0.029255536,-0.048562764,348,-0.055186195,0.048562764,764,25,2,NULL,2.25,0,6,0,5,2012,0.002091521,-0.025614386,0.049564791,older,0.029255536,5,286,-0.050935083
38,10183,496,22/02/2010,2010,S,1,6967.2,07/07/2014,FOOT/LEG PROBLEMS,Lameness,1596,22/02/2013,0.918166112,4,-0.065916622,-0.019307227,-0.046609394,332,-0.048562764,0.046609394,1096,36,3,NULL,2.25,0,6,0,5,2013,0.002091521,-0.025614386,0.049564791,older,0.029255536,5,286,-0.051242255
