"","recoded_id","X.1","X","dob","birth_year","genetic_group","feed_group","amp_305_lactation","cull_date","cull_reason","herd_life","sample_date","rltl","tel_sample_no","residual_rltl_t","residual_rltl_tminus1","diff_rltl_res","sample_interval","change_at_t_1","abs_diff_rltl_res","age_d","age_m","age_y","live_wgt","cond_score","health_event_2week","health_event_fertil_all","health_event_mastitis_all","health_event_lame_all","sample_year","AgeGroup","av_rltl_1_res","SamplesPerAnimal","Animal_No","average_resid_M2","rltl_change_M2","abs_rltl_change_M2"
"11",124,151,39,"16/02/2009",2009,"S","2","5846.916667","17/07/2014","BRUCELLOSIS/ABORTED","1977","20/02/2012",1.421473972,4,0.215830105,"0.097518248","0.118311857","230","0.163571644","0.118311857",1099,36,3,"NULL","3.25",0,"3","0","0",2012,"older",-0.066053396,5,3,0.0908345015,-0.01293980875,0.15388155925
"12",124,152,40,"16/02/2009",2009,"S","2","5846.916667","17/07/2014","BRUCELLOSIS/ABORTED","1977","21/02/2013",1.224258197,5,0.116043049,"0.215830105","-0.099787056","367","0.118311857","0.099787056",1466,48,4,"NULL","2.5",0,"3","0","0",2013,"older",-0.066053396,5,3,0.0908345015,-0.01293980875,0.15388155925
"13",141,172,887,"16/02/2010",2010,"S","1","9168.466667","17/07/2014","MASTITIS","1612","14/04/2011",0.927795262,2,-0.12641467,"-0.285398732","0.158984062","412","NULL","0.158984062",422,14,1,"NULL","2.5",0,"7","4","5",2011,"older",-0.12641467,5,4,-0.228816981,0.028116191,0.1380217765
"14",141,173,888,"16/02/2010",2010,"S","1","9168.466667","17/07/2014","MASTITIS","1612","16/02/2012",0.751747161,3,-0.269693445,"-0.12641467","-0.143278775","308","0.158984062","0.143278775",730,24,2,"NULL","2.5",0,"7","4","5",2012,"older",-0.12641467,5,4,-0.228816981,0.028116191,0.1380217765
"15",141,174,889,"16/02/2010",2010,"S","1","9168.466667","17/07/2014","MASTITIS","1612","25/02/2013",0.740632365,4,-0.346225841,"-0.269693445","-0.076532396","375","-0.143278775","0.076532396",1105,36,3,"NULL","2",0,"7","4","5",2013,"older",-0.12641467,5,4,-0.228816981,0.028116191,0.1380217765
"16",141,175,890,"16/02/2010",2010,"S","1","9168.466667","17/07/2014","MASTITIS","1612","13/05/2014",1.102616523,5,-0.172933968,"-0.346225841","0.173291873","442","-0.076532396","0.173291873",1547,51,4,"NULL","2.5",1,"7","4","5",2014,"older",-0.12641467,5,4,-0.228816981,0.028116191,0.1380217765
"17",202,234,379,"03/07/2011",2011,"C","1","9107.533333","17/09/2016","MASTITIS","1903","23/03/2012",0.928822631,2,-0.095547781,"-0.009724416","-0.085823365","259","NULL","0.085823365",264,9,1,"NULL","2",0,"NULL","NULL","NULL",2012,"young",-0.095547781,4,5,-0.151264117,-0.0852585213333333,0.0871273166666667
"18",202,235,380,"03/07/2011",2011,"C","1","9107.533333","17/09/2016","MASTITIS","1903","07/03/2013",1.039138868,3,-0.092744589,"-0.095547781","0.002803193","349","-0.085823365","0.002803193",613,20,2,"NULL","2",0,"NULL","NULL","NULL",2013,"older",-0.095547781,4,5,-0.151264117,-0.0852585213333333,0.0871273166666667
"19",202,236,381,"03/07/2011",2011,"C","1","9107.533333","17/09/2016","MASTITIS","1903","15/05/2014",0.839334204,4,-0.265499981,"-0.092744589","-0.172755392","434","0.002803193","0.172755392",1047,34,3,"NULL","1.75",0,"NULL","NULL","NULL",2014,"older",-0.095547781,4,5,-0.151264117,-0.0852585213333333,0.0871273166666667
"20",242,299,892,"31/03/2010",2010,"C","NULL","NULL","11/06/2012","ACCIDENT","803","14/04/2011",0.972929173,2,-0.101111298,"0.182454928","-0.283566226","374","NULL","0.283566226",379,12,1,"NULL","NULL",0,"NULL","NULL","NULL",2011,"older",-0.101111298,3,7,0.0760025475,0.0353307325,0.3188969585
"21",242,300,893,"31/03/2010",2010,"C","NULL","NULL","11/06/2012","ACCIDENT","803","14/03/2012",1.29138939,3,0.253116393,"-0.101111298","0.354227691","335","-0.283566226","0.354227691",714,23,2,"NULL","NULL",0,"NULL","NULL","NULL",2012,"older",-0.101111298,3,7,0.0760025475,0.0353307325,0.3188969585
"22",270,350,315,"05/04/2010",2010,"S","1","4861.1","16/07/2012","HIGH SCC","833","14/04/2011",1.043005597,2,-0.042712018,"-0.028823675","-0.013888343","371","NULL","0.013888343",374,12,1,"NULL","2",0,"2","1","1",2011,"older",-0.042712018,3,8,-0.015591882,0.0201759645,0.0340643075
"23",270,351,316,"05/04/2010",2010,"S","1","4861.1","16/07/2012","HIGH SCC","833","23/02/2012",0.970173943,3,0.011528254,"-0.042712018","0.054240272","315","-0.013888343","0.054240272",689,23,2,"NULL","2",0,"2","1","1",2012,"older",-0.042712018,3,8,-0.015591882,0.0201759645,0.0340643075
"24",309,397,31,"12/02/2009",2009,"C","1","9631.6125","05/11/2015","FOOT/LEG PROBLEMS","2457","16/03/2010",1.016333826,2,-0.064621613,"0.195118958","-0.259740571","389","NULL","0.259740571",397,13,1,"NULL","2.75",0,"6","3","3",2010,"older",-0.064621613,6,10,-0.036613447,-0.0429690618,0.1006725826
"25",309,398,32,"12/02/2009",2009,"C","1","9631.6125","05/11/2015","FOOT/LEG PROBLEMS","2457","09/03/2011",0.983369232,3,-0.056900091,"-0.064621613","0.007721522","358","-0.259740571","0.007721522",755,25,2,"NULL","2",0,"6","3","3",2011,"older",-0.064621613,6,10,-0.036613447,-0.0429690618,0.1006725826
"26",309,399,33,"12/02/2009",2009,"C","1","9631.6125","05/11/2015","FOOT/LEG PROBLEMS","2457","17/02/2012",1.091380156,4,-0.08917823,"-0.056900091","-0.032278139","345","0.007721522","0.032278139",1100,36,3,"NULL","1.75",0,"6","3","3",2012,"older",-0.064621613,6,10,-0.036613447,-0.0429690618,0.1006725826
"27",309,400,34,"12/02/2009",2009,"C","1","9631.6125","05/11/2015","FOOT/LEG PROBLEMS","2457","27/02/2013",1.09201369,5,0.04735905,"-0.08917823","0.13653728","376","-0.032278139","0.13653728",1476,48,4,"NULL","1.75",0,"6","3","3",2013,"older",-0.064621613,6,10,-0.036613447,-0.0429690618,0.1006725826
"28",309,401,35,"12/02/2009",2009,"C","1","9631.6125","05/11/2015","FOOT/LEG PROBLEMS","2457","15/05/2014",1.085107834,6,-0.019726351,"0.04735905","-0.067085401","442","0.13653728","0.067085401",1918,63,5,"NULL","2",0,"6","3","3",2014,"older",-0.064621613,6,10,-0.036613447,-0.0429690618,0.1006725826
"29",318,408,339,"12/10/2010",2010,"C","2","5916.425","NULL","NULL","NULL","23/03/2012",0.748634138,2,-0.316731509,"0.033216769","-0.349948278","525","NULL","0.349948278",528,17,1,"NULL","2",0,"NULL","NULL","NULL",2012,"older",-0.316731509,4,11,-0.169639906666667,-0.0508901383333333,0.213554767666667
"30",318,409,340,"12/10/2010",2010,"C","2","5916.425","NULL","NULL","NULL","21/02/2013",1.01939394,3,-0.072734565,"-0.316731509","0.243996944","335","-0.349948278","0.243996944",863,28,2,"NULL","2.5",0,"NULL","NULL","NULL",2013,"older",-0.316731509,4,11,-0.169639906666667,-0.0508901383333333,0.213554767666667
"31",318,410,341,"12/10/2010",2010,"C","2","5916.425","NULL","NULL","NULL","28/05/2014",0.865728414,4,-0.119453646,"-0.072734565","-0.046719081","461","0.243996944","0.046719081",1324,43,4,"NULL","2",0,"NULL","NULL","NULL",2014,"older",-0.316731509,4,11,-0.169639906666667,-0.0508901383333333,0.213554767666667
"32",354,433,714,"22/07/2010",2010,"S","2","6130.875","NULL","NULL","NULL","14/04/2011",1.442040303,2,0.179732491,"0.018869503","0.160862988","260","NULL","0.160862988",266,9,1,"NULL","1.75",0,"NULL","NULL","NULL",2011,"young",0.179732491,5,12,-0.030561703,-0.011410082,0.1637290475
"33",354,434,715,"22/07/2010",2010,"S","2","6130.875","NULL","NULL","NULL","27/03/2012",0.915171847,3,-0.170545768,"0.179732491","-0.350278259","348","0.160862988","0.350278259",614,20,2,"NULL","1.75",0,"NULL","NULL","NULL",2012,"older",0.179732491,5,12,-0.030561703,-0.011410082,0.1637290475
"34",354,435,716,"22/07/2010",2010,"S","2","6130.875","NULL","NULL","NULL","21/02/2013",1.012551275,4,-0.10466271,"-0.170545768","0.065883058","331","-0.350278259","0.065883058",945,31,3,"NULL","1.75",0,"NULL","NULL","NULL",2013,"older",0.179732491,5,12,-0.030561703,-0.011410082,0.1637290475
"35",354,436,717,"22/07/2010",2010,"S","2","6130.875","NULL","NULL","NULL","16/05/2014",1.019863609,5,-0.026770825,"-0.10466271","0.077891885","449","0.065883058","0.077891885",1394,46,4,"NULL","1.75",0,"NULL","NULL","NULL",2014,"older",0.179732491,5,12,-0.030561703,-0.011410082,0.1637290475
"36",370,454,646,"27/06/2009",2009,"C","NULL","5553.316667","NULL","NULL","NULL","16/03/2010",0.902005296,2,-0.056640393,"0.040106612","-0.096747005","260","NULL","0.096747005",262,9,1,"471","2",0,"NULL","NULL","NULL",2010,"young",-0.056640393,5,13,0.0637138925,0.06816729575,0.12172703925
"37",370,455,647,"27/06/2009",2009,"C","NULL","5553.316667","NULL","NULL","NULL","28/03/2011",0.982411727,3,-0.067012875,"-0.056640393","-0.010372482","377","-0.096747005","0.010372482",639,21,2,"471","2",0,"NULL","NULL","NULL",2011,"older",-0.056640393,5,13,0.0637138925,0.06816729575,0.12172703925
"38",370,456,648,"27/06/2009",2009,"C","NULL","5553.316667","NULL","NULL","NULL","15/04/2013",1.229869524,4,0.065733043,"-0.067012875","0.132745918","749","-0.010372482","0.132745918",1388,46,4,"538","NULL",0,"NULL","NULL","NULL",2013,"older",-0.056640393,5,13,0.0637138925,0.06816729575,0.12172703925
"39",370,457,649,"27/06/2009",2009,"C","NULL","5553.316667","NULL","NULL","NULL","20/08/2014",1.360772933,5,0.312775795,"0.065733043","0.247042752","492","0.132745918","0.247042752",1880,62,5,"538","NULL",0,"NULL","NULL","NULL",2014,"older",-0.056640393,5,13,0.0637138925,0.06816729575,0.12172703925
"40",372,459,569,"30/04/2011",2011,"C","2","6218.475","NULL","NULL","NULL","23/03/2012",0.998802272,2,-0.024475262,"0.022016837","-0.0464921","323","NULL","0.0464921",328,11,1,"NULL","2.25",0,"NULL","NULL","NULL",2012,"young",-0.024475262,4,14,-0.122277353,-0.0827375623333333,0.0827375623333333
"41",372,460,570,"30/04/2011",2011,"C","2","6218.475","NULL","NULL","NULL","15/04/2013",0.872027131,3,-0.116160948,"-0.024475262","-0.091685686","388","-0.0464921","0.091685686",716,23,2,"NULL","2.25",0,"NULL","NULL","NULL",2013,"older",-0.024475262,4,14,-0.122277353,-0.0827375623333333,0.0827375623333333
"42",372,461,571,"30/04/2011",2011,"C","2","6218.475","NULL","NULL","NULL","14/05/2014",0.890061267,4,-0.226195849,"-0.116160948","-0.110034901","394","-0.091685686","0.110034901",1110,36,3,"NULL","2",0,"NULL","NULL","NULL",2014,"older",-0.024475262,4,14,-0.122277353,-0.0827375623333333,0.0827375623333333
"43",382,471,1263,"12/07/2010",2010,"C","2","5422.925","NULL","NULL","NULL","14/04/2011",1.220524782,2,0.051139462,"0.009652639","0.041486823","272","NULL","0.041486823",276,9,1,"NULL","2.5",0,"NULL","NULL","NULL",2011,"young",0.051139462,5,15,0.08755338425,0.04707794425,0.18927104775
"44",382,472,1264,"12/07/2010",2010,"C","2","5422.925","NULL","NULL","NULL","27/03/2012",1.330763087,3,0.192747933,"0.051139462","0.141608471","348","0.041486823","0.141608471",624,20,2,"NULL","2.5",0,"NULL","NULL","NULL",2012,"older",0.051139462,5,15,0.08755338425,0.04707794425,0.18927104775
"45",382,473,1265,"12/07/2010",2010,"C","2","5422.925","NULL","NULL","NULL","22/02/2013",0.912274999,4,-0.091638274,"0.192747933","-0.284386207","332","0.141608471","0.284386207",956,31,3,"NULL","2.5",0,"NULL","NULL","NULL",2013,"older",0.051139462,5,15,0.08755338425,0.04707794425,0.18927104775
"46",382,474,1266,"12/07/2010",2010,"C","2","5422.925","NULL","NULL","NULL","14/05/2014",1.305966674,5,0.197964416,"-0.091638274","0.28960269","446","-0.284386207","0.28960269",1402,46,4,"NULL","2.5",0,"NULL","NULL","NULL",2014,"older",0.051139462,5,15,0.08755338425,0.04707794425,0.18927104775
"47",385,476,125,"01/05/2010",2010,"C","1","6578.65","01/05/2014","DIED","1461","14/04/2011",0.860864638,2,-0.217239913,"-0.096336998","-0.120902915","343","NULL","0.120902915",348,11,1,"NULL","2.5",0,"3","0","3",2011,"young",-0.217239913,4,16,-0.176264704333333,-0.0455577733333333,0.138021794
"48",385,477,126,"01/05/2010",2010,"C","1","6578.65","01/05/2014","DIED","1461","27/03/2012",1.02114277,3,-0.078543882,"-0.217239913","0.138696031","348","-0.120902915","0.138696031",696,23,2,"NULL","2.5",0,"3","0","3",2012,"older",-0.217239913,4,16,-0.176264704333333,-0.0455577733333333,0.138021794
"49",385,478,127,"01/05/2010",2010,"C","1","6578.65","01/05/2014","DIED","1461","27/02/2013",0.845094233,4,-0.233010318,"-0.078543882","-0.154466436","337","0.138696031","0.154466436",1033,34,3,"NULL","3.25",0,"3","0","3",2013,"older",-0.217239913,4,16,-0.176264704333333,-0.0455577733333333,0.138021794
"50",428,538,674,"29/11/2009",2009,"C","1","5784.925","NULL","NULL","NULL","28/03/2011",1.15456459,2,0.076861663,"0.080789443","-0.00392778","480","NULL","0.00392778",484,16,1,"NULL","2",0,"NULL","NULL","NULL",2011,"older",0.076861663,5,17,0.115286769,0.0036295775,0.0969850475
"51",428,539,675,"29/11/2009",2009,"C","1","5784.925","NULL","NULL","NULL","17/02/2012",1.231990738,3,0.043874205,"0.076861663","-0.032987458","326","-0.00392778","0.032987458",810,27,2,"NULL","2.25",0,"NULL","NULL","NULL",2012,"older",0.076861663,5,17,0.115286769,0.0036295775,0.0969850475
"52",428,540,676,"29/11/2009",2009,"C","1","5784.925","NULL","NULL","NULL","27/02/2013",1.409239936,4,0.245103455,"0.043874205","0.20122925","376","-0.032987458","0.20122925",1186,39,3,"NULL","2",0,"NULL","NULL","NULL",2013,"older",0.076861663,5,17,0.115286769,0.0036295775,0.0969850475
"53",428,541,677,"29/11/2009",2009,"C","1","5784.925","NULL","NULL","NULL","15/05/2014",1.275866139,5,0.095307753,"0.245103455","-0.149795702","442","0.20122925","0.149795702",1628,53,4,"NULL","2.25",0,"NULL","NULL","NULL",2014,"older",0.076861663,5,17,0.115286769,0.0036295775,0.0969850475
"54",525,641,273,"01/09/2009",2009,"S","1","NULL","30/09/2011","DIED","759","16/03/2010",1.058120741,2,0.021189171,"0.424538821","-0.40334965","187","NULL","0.40334965",196,6,1,"574","2.25",0,"0","0","1",2010,"young",0.021189171,3,18,0.141052422,-0.0818115735,0.3215380765
"55",525,642,274,"01/09/2009",2009,"S","1","NULL","30/09/2011","DIED","759","28/03/2011",1.29918867,3,0.260915673,"0.021189171","0.239726503","377","-0.40334965","0.239726503",573,19,2,"574","2.25",0,"0","0","1",2011,"older",0.021189171,3,18,0.141052422,-0.0818115735,0.3215380765
"56",526,644,699,"07/04/2010",2010,"S","1","7773.875","29/06/2016","MASTITIS","2275","14/04/2011",1.060872082,2,0.017490272,"0.119113696","-0.101623425","366","NULL","0.101623425",372,12,1,"NULL","2.25",0,"NULL","NULL","NULL",2011,"older",0.017490272,5,19,-0.0186427235,-0.04971523775,0.13451710975
"57",526,645,700,"07/04/2010",2010,"S","1","7773.875","29/06/2016","MASTITIS","2275","21/02/2012",1.048598098,3,-0.090958828,"0.017490272","-0.108449099","313","-0.101623425","0.108449099",685,22,2,"NULL","2.25",0,"NULL","NULL","NULL",2012,"older",0.017490272,5,19,-0.0186427235,-0.04971523775,0.13451710975
"58",526,646,701,"07/04/2010",2010,"S","1","7773.875","29/06/2016","MASTITIS","2275","25/02/2013",1.165359642,4,0.078644916,"-0.090958828","0.169603744","370","-0.108449099","0.169603744",1055,35,3,"NULL","2",0,"NULL","NULL","NULL",2013,"older",0.017490272,5,19,-0.0186427235,-0.04971523775,0.13451710975
"59",526,647,702,"07/04/2010",2010,"S","1","7773.875","29/06/2016","MASTITIS","2275","13/05/2014",0.940903167,5,-0.079747254,"0.078644916","-0.158392171","442","0.169603744","0.158392171",1497,49,4,"NULL","2.5",0,"NULL","NULL","NULL",2014,"older",0.017490272,5,19,-0.0186427235,-0.04971523775,0.13451710975
"60",533,658,979,"25/10/2008",2008,"C","2","6348.55","NULL","NULL","NULL","16/03/2010",1.344860933,2,0.289889507,"0.101495555","0.188393952","504","NULL","0.188393952",507,17,1,"NULL","2.25",0,"NULL","NULL","NULL",2010,"older",0.289889507,7,20,0.276601725166667,0.00251343066666666,0.110799838666667
"61",533,659,980,"25/10/2008",2008,"C","2","6348.55","NULL","NULL","NULL","25/03/2011",1.47934624,3,0.398583457,"0.289889507","0.108693951","374","0.188393952","0.108693951",881,29,2,"NULL","2.75",0,"NULL","NULL","NULL",2011,"older",0.289889507,7,20,0.276601725166667,0.00251343066666666,0.110799838666667
"62",533,660,981,"25/10/2008",2008,"C","2","6348.55","NULL","NULL","NULL","20/02/2012",1.325130625,4,0.312688856,"0.398583457","-0.085894601","332","0.108693951","0.085894601",1213,40,3,"NULL","2.25",0,"NULL","NULL","NULL",2012,"older",0.289889507,7,20,0.276601725166667,0.00251343066666666,0.110799838666667
"63",533,661,982,"25/10/2008",2008,"C","2","6348.55","NULL","NULL","NULL","21/02/2013",1.46904977,5,0.355540762,"0.312688856","0.042851905","367","-0.085894601","0.042851905",1580,52,4,"NULL","2.5",0,"NULL","NULL","NULL",2013,"older",0.289889507,7,20,0.276601725166667,0.00251343066666666,0.110799838666667
"64",533,662,983,"25/10/2008",2008,"C","2","6348.55","NULL","NULL","NULL","16/05/2014",1.15126939,6,0.186331631,"0.355540762","-0.16920913","449","0.042851905","0.16920913",2029,67,6,"NULL","2",0,"NULL","NULL","NULL",2014,"older",0.289889507,7,20,0.276601725166667,0.00251343066666666,0.110799838666667
"65",533,663,984,"25/10/2008",2008,"C","2","6348.55","NULL","NULL","NULL","16/12/2014",1.128990276,7,0.116576138,"0.186331631","-0.069755493","214","-0.16920913","0.069755493",2243,74,6,"NULL","2",0,"NULL","NULL","NULL",2014,"older",0.289889507,7,20,0.276601725166667,0.00251343066666666,0.110799838666667
"66",562,694,1322,"01/02/2012",2012,"S","NULL","2065","17/07/2014","UNKNOWN","897","07/03/2013",1.035505592,2,-0.014554827,"-0.041245535","0.026690708","398","NULL","0.026690708",400,13,1,"NULL","NULL",0,"NULL","NULL","NULL",2013,"older",-0.014554827,3,21,0.005395535,0.033295716,0.033295716
"67",562,695,1323,"01/02/2012",2012,"S","NULL","2065","17/07/2014","UNKNOWN","897","12/05/2014",1.066731492,3,0.025345897,"-0.014554827","0.039900724","431","0.026690708","0.039900724",831,27,2,"NULL","NULL",0,"NULL","NULL","NULL",2014,"older",-0.014554827,3,21,0.005395535,0.033295716,0.033295716
"68",582,733,1092,"06/04/2011",2011,"C","1","6687.125","NULL","NULL","NULL","23/03/2012",0.97215917,2,-0.165855984,"-0.016074415","-0.149781569","346","NULL","0.149781569",352,12,1,"NULL","2.25",0,"NULL","NULL","NULL",2012,"young",-0.165855984,4,22,-0.145296167333333,-0.0118368343333333,0.123078621666667
"69",582,734,1093,"06/04/2011",2011,"C","1","6687.125","NULL","NULL","NULL","07/03/2013",0.825074236,3,-0.218447599,"-0.165855984","-0.052591615","349","-0.149781569","0.052591615",701,23,2,"NULL","2.25",0,"NULL","NULL","NULL",2013,"older",-0.165855984,4,22,-0.145296167333333,-0.0118368343333333,0.123078621666667
"70",582,735,1094,"06/04/2011",2011,"C","1","6687.125","NULL","NULL","NULL","14/05/2014",1.008199642,4,-0.051584919,"-0.218447599","0.166862681","433","-0.052591615","0.166862681",1134,37,3,"NULL","2",0,"NULL","NULL","NULL",2014,"older",-0.165855984,4,22,-0.145296167333333,-0.0118368343333333,0.123078621666667
"71",625,785,1288,"17/03/2011",2011,"C","1","7357.5","25/06/2015","FOOT/LEG PROBLEMS","1561","23/03/2012",1.187881797,2,0.112175197,"0.172618106","-0.060442909","367","NULL","0.060442909",372,12,1,"NULL","2.25",0,"3","0","2",2012,"older",0.112175197,4,23,0.222975133,-0.00261232933333332,0.189141587333333
"72",625,786,1289,"17/03/2011",2011,"C","1","7357.5","25/06/2015","FOOT/LEG PROBLEMS","1561","15/04/2013",1.47882729,3,0.391969084,"0.112175197","0.279793887","388","-0.060442909","0.279793887",760,25,2,"NULL","2",0,"3","0","2",2013,"older",0.112175197,4,23,0.222975133,-0.00261232933333332,0.189141587333333
"73",625,787,1290,"17/03/2011",2011,"C","1","7357.5","25/06/2015","FOOT/LEG PROBLEMS","1561","13/05/2014",1.207203627,4,0.164781118,"0.391969084","-0.227187966","393","0.279793887","0.227187966",1153,38,3,"NULL","1.75",1,"3","0","2",2014,"older",0.112175197,4,23,0.222975133,-0.00261232933333332,0.189141587333333
"74",679,842,895,"25/04/2010",2010,"C","NULL","1819.6","10/01/2014","NULL","1356","14/04/2011",1.192082813,2,-0.05117202,"-0.021398363","-0.029773657","350","NULL","0.029773657",354,12,1,"NULL","NULL",0,"NULL","NULL","NULL",2011,"young",-0.05117202,5,24,-0.1240251625,-0.02852689425,0.04022956025
"75",679,843,896,"25/04/2010",2010,"C","NULL","1819.6","10/01/2014","NULL","1356","29/02/2012",0.941056386,3,-0.150511418,"-0.05117202","-0.099339398","321","-0.029773657","0.099339398",675,22,2,"NULL","NULL",0,"NULL","NULL","NULL",2012,"older",-0.05117202,5,24,-0.1240251625,-0.02852689425,0.04022956025
"76",679,844,897,"25/04/2010",2010,"C","NULL","1819.6","10/01/2014","NULL","1356","11/03/2013",0.914982871,4,-0.158911272,"-0.150511418","-0.008399854","376","-0.099339398","0.008399854",1051,34,3,"NULL","NULL",0,"NULL","NULL","NULL",2013,"older",-0.05117202,5,24,-0.1240251625,-0.02852689425,0.04022956025
"77",679,845,898,"25/04/2010",2010,"C","NULL","1819.6","10/01/2014","NULL","1356","10/01/2014",0.906380463,5,-0.13550594,"-0.158911272","0.023405332","305","-0.008399854","0.023405332",1356,44,4,"NULL","NULL",0,"NULL","NULL","NULL",2014,"older",-0.05117202,5,24,-0.1240251625,-0.02852689425,0.04022956025
"78",681,849,1076,"07/11/2010",2010,"C","2","4925.5","10/01/2014","REPRODUCTIVE DISORDER","1160","23/03/2012",1.091883004,2,-0.081977619,"-0.004931622","-0.077045997","497","NULL","0.077045997",502,16,1,"NULL","2",0,"1","0","0",2012,"older",-0.081977619,4,26,-0.0969694933333333,-0.0654907093333333,0.115124381333333
"79",681,850,1077,"07/11/2010",2010,"C","2","4925.5","10/01/2014","REPRODUCTIVE DISORDER","1160","22/02/2013",1.073428328,3,-0.007527111,"-0.081977619","0.074450508","336","-0.077045997","0.074450508",838,27,2,"NULL","3",0,"1","0","0",2013,"older",-0.081977619,4,26,-0.0969694933333333,-0.0654907093333333,0.115124381333333
"80",681,851,1078,"07/11/2010",2010,"C","2","4925.5","10/01/2014","REPRODUCTIVE DISORDER","1160","09/01/2014",0.909960046,4,-0.20140375,"-0.007527111","-0.193876639","321","0.074450508","0.193876639",1159,38,3,"NULL","3",0,"1","0","0",2014,"older",-0.081977619,4,26,-0.0969694933333333,-0.0654907093333333,0.115124381333333
"81",760,984,1036,"23/05/2010",2010,"C","NULL","1335.5","06/06/2013","REPEAT BREEDER","1110","14/04/2011",1.104857851,2,0.101043431,"0.369284509","-0.268241078","322","NULL","0.268241078",326,11,1,"NULL","NULL",0,"NULL","NULL","NULL",2011,"young",0.101043431,4,28,0.0230536516666667,-0.131034803666667,0.131034803666667
"82",760,985,1037,"23/05/2010",2010,"C","NULL","1335.5","06/06/2013","REPEAT BREEDER","1110","23/03/2012",1.135214343,3,-0.008062574,"0.101043431","-0.109106005","344","-0.268241078","0.109106005",670,22,2,"NULL","NULL",0,"NULL","NULL","NULL",2012,"older",0.101043431,4,28,0.0230536516666667,-0.131034803666667,0.131034803666667
