"","recoded_id","RLTL0","S_date0","herd_life","cull_date","dob","tel_sample_no","sample_year0","RLTL1","S_date1","sample_year","sample_interval","sInt","CutoffDate","Event","TimeMeasure","ResDiff","ResDiff_3G"
"50",1945,-0.203098462,"01/06/2010","NULL","NULL","25/05/2010",1,2010,0.042535481,"14/04/2011",2011,317,317,"01/01/2017",0,2413,0.245633943,3
"51",1973,0.014779325,"08/03/2010","1593","09/07/2014","27/02/2010",1,2010,-0.029836956,"14/04/2011",2011,402,402,"01/01/2017",1,1593,-0.044616281,3
"52",1980,0.056975732,"10/11/2008","2264","16/01/2015","04/11/2008",1,2008,-0.142664236,"16/03/2010",2010,491,491,"01/01/2017",1,2264,-0.199639968,1
"53",2010,-0.179337997,"17/08/2010","1834","18/08/2015","10/08/2010",1,2010,-0.219562131,"14/04/2011",2011,240,240,"01/01/2017",1,1834,-0.040224134,3
"54",2035,-0.063338501,"07/06/2012","641","07/03/2014","04/06/2012",1,2012,-0.061023081,"07/03/2013",2013,273,273,"01/01/2017",1,641,0.00231542000000001,3
"55",2041,-0.082543534,"25/11/2010","1033","18/09/2013","20/11/2010",1,2010,-0.163197417,"23/03/2012",2012,484,484,"01/01/2017",1,1033,-0.080653883,2
"56",2042,-0.113499745,"02/04/2010","2045","03/11/2015","29/03/2010",1,2010,-0.248131549,"14/04/2011",2011,377,377,"01/01/2017",1,2045,-0.134631804,2
"57",2093,0.0706049,"02/04/2009","NULL","NULL","19/03/2009",1,2009,0.009825862,"16/03/2010",2010,348,348,"01/01/2017",0,2845,-0.060779038,2
"58",2187,-0.178420916,"01/03/2012","904","14/08/2014","22/02/2012",1,2012,-0.198140406,"07/03/2013",2013,371,371,"01/01/2017",1,904,-0.01971949,3
"59",2210,0.252765697,"21/12/2010","1693","06/08/2015","17/12/2010",1,2010,0.133276779,"23/03/2012",2012,458,458,"01/01/2017",1,1693,-0.119488918,2
"60",2269,0.129771174,"03/11/2008","2823","22/07/2016","29/10/2008",1,2008,0.210695749,"16/03/2010",2010,498,498,"01/01/2017",1,2823,0.080924575,3
"61",2281,-0.038201069,"21/01/2011","1671","06/08/2015","08/01/2011",1,2011,-0.054892187,"23/03/2012",2012,427,427,"01/01/2017",1,1671,-0.016691118,3
"62",2298,0.175800959,"20/10/2008","2486","06/08/2015","15/10/2008",1,2008,0.07381441,"16/03/2010",2010,512,512,"01/01/2017",1,2486,-0.101986549,2
"63",2349,0.042139493,"22/03/2011","NULL","NULL","14/03/2011",1,2011,-0.13333689,"23/03/2012",2012,367,367,"01/01/2017",0,2120,-0.175476383,2
"64",2380,0.070651889,"29/06/2009","658","13/04/2011","24/06/2009",1,2009,-0.014506304,"16/03/2010",2010,260,260,"01/01/2017",1,658,-0.085158193,2
"65",2409,0.073872518,"26/11/2008","1633","03/05/2013","12/11/2008",1,2008,-0.005535383,"16/03/2010",2010,475,475,"01/01/2017",1,1633,-0.079407901,2
"66",2421,0.032883787,"12/01/2009","1373","04/10/2012","31/12/2008",1,2009,-0.017843189,"16/03/2010",2010,428,428,"01/01/2017",1,1373,-0.050726976,2
"67",2431,0.136890352,"14/12/2009","1627","24/05/2014","09/12/2009",1,2009,0.030687492,"30/03/2011",2011,471,471,"01/01/2017",1,1627,-0.10620286,2
"68",2445,0.179101028,"17/08/2010","1609","08/01/2015","13/08/2010",1,2010,0.235716238,"14/04/2011",2011,240,240,"01/01/2017",1,1609,0.05661521,3
"69",2500,0.202698647,"13/04/2012","1588","17/08/2016","12/04/2012",1,2012,-0.103671427,"07/03/2013",2013,328,328,"01/01/2017",1,1588,-0.306370074,1
"70",2530,0.071686712,"13/01/2010","2140","20/11/2015","10/01/2010",1,2010,0.104228291,"14/04/2011",2011,456,456,"01/01/2017",1,2140,0.032541579,3
"71",2548,0.133017578,"11/06/2009","2155","01/05/2015","06/06/2009",1,2009,0.304953515,"16/03/2010",2010,278,278,"01/01/2017",1,2155,0.171935937,3
"72",2559,0.241108626,"02/12/2010","2086","11/08/2016","25/11/2010",1,2010,-0.030461253,"23/03/2012",2012,477,477,"01/01/2017",1,2086,-0.271569879,1
"73",2661,0.134795256,"15/07/2011","NULL","NULL","09/07/2011",1,2011,-0.021624217,"23/03/2012",2012,252,252,"01/01/2017",0,2003,-0.156419473,2
"74",2680,-0.065895155,"03/11/2011","1186","30/01/2015","01/11/2011",1,2011,-0.007937534,"07/03/2013",2013,490,490,"01/01/2017",1,1186,0.057957621,3
"75",2741,0.171293834,"27/06/2011","NULL","NULL","20/06/2011",1,2011,-0.100412402,"23/03/2012",2012,270,270,"01/01/2017",0,2022,-0.271706236,1
"76",2874,-0.055593572,"08/03/2010","1128","04/04/2013","03/03/2010",1,2010,-0.049260841,"14/04/2011",2011,402,402,"01/01/2017",1,1128,0.006332731,3
"77",2880,-0.143495717,"29/10/2010","1914","20/01/2016","24/10/2010",1,2010,-0.003220597,"23/03/2012",2012,511,511,"01/01/2017",1,1914,0.14027512,3
"78",2929,0.290650052,"15/10/2010","906","04/04/2013","11/10/2010",1,2010,-0.025097669,"23/03/2012",2012,525,525,"01/01/2017",1,906,-0.315747721,1
"79",2947,-0.146952009,"13/06/2011","1142","17/07/2014","01/06/2011",1,2011,0.005406831,"23/03/2012",2012,284,284,"01/01/2017",1,1142,0.15235884,3
"80",3006,0.10553701,"05/11/2010","1479","16/11/2014","29/10/2010",1,2010,0.096684615,"23/03/2012",2012,504,504,"01/01/2017",1,1479,-0.008852395,3
"81",3007,-0.001480801,"02/04/2009","1069","23/02/2012","21/03/2009",1,2009,0.093088024,"16/03/2010",2010,348,348,"01/01/2017",1,1069,0.094568825,3
"82",3034,0.126698255,"21/09/2010","948","22/04/2013","17/09/2010",1,2010,-0.142594823,"14/04/2011",2011,205,205,"01/01/2017",1,948,-0.269293078,1
"83",3037,-0.007042676,"09/07/2010","NULL","NULL","04/07/2010",1,2010,0.05769135,"14/04/2011",2011,279,279,"01/01/2017",0,2373,0.064734026,3
"84",3062,0.076386253,"29/04/2010","1999","15/10/2015","25/04/2010",1,2010,-0.281545277,"14/04/2011",2011,350,350,"01/01/2017",1,1999,-0.35793153,1
"85",3131,-0.074621324,"09/07/2010","2325","16/11/2016","06/07/2010",1,2010,-0.270837544,"14/04/2011",2011,279,279,"01/01/2017",1,2325,-0.19621622,1
"86",3230,0.130960138,"19/05/2009","760","09/06/2011","10/05/2009",1,2009,-0.131755321,"16/03/2010",2010,301,301,"01/01/2017",1,760,-0.262715459,1
"87",3254,0.154209311,"25/11/2010","NULL","NULL","20/11/2010",1,2010,-0.212591545,"23/03/2012",2012,484,484,"01/01/2017",0,2234,-0.366800856,1
"88",3278,-0.045295004,"16/08/2011","NULL","NULL","10/08/2011",1,2011,0.167290812,"23/03/2012",2012,220,220,"01/01/2017",0,1971,0.212585816,3
"89",3386,0.169342186,"06/11/2009","1638","20/04/2014","25/10/2009",1,2009,0.032572111,"30/03/2011",2011,509,509,"01/01/2017",1,1638,-0.136770075,2
"90",3524,0.135858774,"16/02/2010","535","01/08/2011","12/02/2010",1,2010,-0.089073638,"14/04/2011",2011,422,422,"01/01/2017",1,535,-0.224932412,1
"91",3533,-0.14683372,"21/08/2012","731","14/08/2014","13/08/2012",1,2012,-0.405257902,"07/03/2013",2013,198,198,"01/01/2017",1,731,-0.258424182,1
"92",3609,-0.146229748,"20/04/2011","1975","07/09/2016","12/04/2011",1,2011,-0.134624499,"23/03/2012",2012,338,338,"01/01/2017",1,1975,0.011605249,3
"93",3610,0.017629261,"04/06/2010","1468","06/06/2014","30/05/2010",1,2010,0.062859742,"14/04/2011",2011,314,314,"01/01/2017",1,1468,0.045230481,3
"94",3661,0.267514335,"31/08/2009","2177","11/08/2015","25/08/2009",1,2009,0.317252014,"16/03/2010",2010,197,197,"01/01/2017",1,2177,0.049737679,3
"95",3735,0.277190484,"08/07/2011","1565","15/10/2015","03/07/2011",1,2011,0.146632837,"23/03/2012",2012,259,259,"01/01/2017",1,1565,-0.130557647,2
"96",3795,0.175474379,"29/10/2010","2018","05/05/2016","26/10/2010",1,2010,-0.041478396,"23/03/2012",2012,511,511,"01/01/2017",1,2018,-0.216952775,1
"97",3926,0.195296628,"25/09/2008","2766","15/04/2016","18/09/2008",1,2008,0.075074996,"16/03/2010",2010,537,537,"01/01/2017",1,2766,-0.120221632,2
"98",3927,0.542155426,"18/12/2009","1615","16/05/2014","13/12/2009",1,2009,0.228350647,"14/04/2011",2011,482,482,"01/01/2017",1,1615,-0.313804779,1
"99",3965,0.17513999,"07/09/2010","NULL","NULL","03/09/2010",1,2010,0.174820589,"14/04/2011",2011,219,219,"01/01/2017",0,2312,-0.000319400999999997,3
"100",3987,0.068706075,"16/01/2012","944","14/08/2014","13/01/2012",1,2012,-0.138115057,"07/03/2013",2013,416,416,"01/01/2017",1,944,-0.206821132,1
"101",4022,0.086755896,"08/07/2011","840","14/10/2013","27/06/2011",1,2011,-0.022071167,"23/03/2012",2012,259,259,"01/01/2017",1,840,-0.108827063,2
"102",4028,0.063831456,"23/07/2009","2235","31/08/2015","18/07/2009",1,2009,-0.298986719,"16/03/2010",2010,236,236,"01/01/2017",1,2235,-0.362818175,1
"103",4091,0.288369677,"17/11/2009","925","27/05/2012","14/11/2009",1,2009,0.045964147,"28/03/2011",2011,496,496,"01/01/2017",1,925,-0.24240553,1
"104",4100,-0.046352903,"01/03/2012","636","21/11/2013","24/02/2012",1,2012,-0.15583646,"07/03/2013",2013,371,371,"01/01/2017",1,636,-0.109483557,2
"105",4102,0.049985617,"09/04/2009","2375","04/10/2015","03/04/2009",1,2009,-0.033333451,"16/03/2010",2010,341,341,"01/01/2017",1,2375,-0.083319068,2
"106",4118,-0.157456944,"06/12/2011","721","21/11/2013","01/12/2011",1,2011,-0.042149313,"07/03/2013",2013,457,457,"01/01/2017",1,721,0.115307631,3
"107",4133,0.07965961,"04/10/2010","982","06/06/2013","28/09/2010",1,2010,-0.108958833,"14/04/2011",2011,192,192,"01/01/2017",1,982,-0.188618443,2
"108",4133,0.07965961,"04/10/2010","982","06/06/2013","28/09/2010",1,2010,0.141853983,"23/03/2012",2012,536,536,"01/01/2017",1,982,0.062194373,3
"109",4146,0.17466775,"08/06/2009","2627","11/08/2016","02/06/2009",1,2009,0.182773213,"16/03/2010",2010,281,281,"01/01/2017",1,2627,0.00810546299999998,3
"110",4159,0.164932865,"10/02/2010","1516","03/04/2014","07/02/2010",1,2010,-0.020935349,"14/04/2011",2011,428,428,"01/01/2017",1,1516,-0.185868214,2
"111",4287,0.050779114,"27/06/2011","1573","09/10/2015","19/06/2011",1,2011,0.015148884,"23/03/2012",2012,270,270,"01/01/2017",1,1573,-0.03563023,3
"112",4391,-0.198661654,"28/11/2008","2822","17/08/2016","25/11/2008",1,2008,-0.129153212,"16/03/2010",2010,473,473,"01/01/2017",1,2822,0.069508442,3
"113",4407,0.269769855,"29/06/2009","1766","25/04/2014","24/06/2009",1,2009,-0.198333198,"16/03/2010",2010,260,260,"01/01/2017",1,1766,-0.468103053,1
"114",4430,0.034081879,"21/01/2011","1222","16/05/2014","10/01/2011",1,2011,0.307292377,"23/03/2012",2012,427,427,"01/01/2017",1,1222,0.273210498,3
"115",4440,0.089884339,"30/05/2011","1790","15/04/2016","22/05/2011",1,2011,0.257948074,"23/03/2012",2012,298,298,"01/01/2017",1,1790,0.168063735,3
"116",4529,-0.01317869,"22/02/2011","1283","23/08/2014","17/02/2011",1,2011,-0.22926922,"23/03/2012",2012,395,395,"01/01/2017",1,1283,-0.21609053,1
"117",4607,-0.102019797,"27/04/2011","2067","14/12/2016","18/04/2011",1,2011,-0.296865435,"23/03/2012",2012,331,331,"01/01/2017",1,2067,-0.194845638,1
"118",4609,-0.127905279,"13/06/2011","735","06/06/2013","02/06/2011",1,2011,-0.088326921,"23/03/2012",2012,284,284,"01/01/2017",1,735,0.039578358,3
"119",4662,-0.050468696,"06/08/2012","749","14/08/2014","26/07/2012",1,2012,-0.214648385,"07/03/2013",2013,213,213,"01/01/2017",1,749,-0.164179689,2
"120",4663,-0.106728569,"22/03/2011","1158","16/05/2014","15/03/2011",1,2011,0.023637991,"23/03/2012",2012,367,367,"01/01/2017",1,1158,0.13036656,3
"121",4718,0.156128102,"15/03/2010","1848","02/04/2015","11/03/2010",1,2010,0.002835602,"14/04/2011",2011,395,395,"01/01/2017",1,1848,-0.1532925,2
"122",4755,-0.037101639,"17/09/2010","NULL","NULL","09/09/2010",1,2010,-0.132479486,"14/04/2011",2011,209,209,"01/01/2017",0,2306,-0.095377847,2
"123",4893,0.207108999,"08/05/2009","1624","14/10/2013","04/05/2009",1,2009,0.155798236,"16/03/2010",2010,312,312,"01/01/2017",1,1624,-0.051310763,2
"124",4924,0.019638562,"04/10/2010","923","04/04/2013","24/09/2010",1,2010,-0.146361457,"14/04/2011",2011,192,192,"01/01/2017",1,923,-0.166000019,2
"125",4924,0.019638562,"04/10/2010","923","04/04/2013","24/09/2010",1,2010,-0.285109209,"23/03/2012",2012,536,536,"01/01/2017",1,923,-0.304747771,1
"126",4925,-0.085265699,"04/03/2011","928","06/09/2013","21/02/2011",1,2011,-0.265700658,"23/03/2012",2012,385,385,"01/01/2017",1,928,-0.180434959,2
"127",4957,-0.022725734,"16/12/2008","1515","05/02/2013","13/12/2008",1,2008,-0.075440568,"16/03/2010",2010,455,455,"01/01/2017",1,1515,-0.052714834,2
"128",4967,0.035997887,"27/06/2012","NULL","NULL","23/06/2012",1,2012,0.256961181,"07/03/2013",2013,253,253,"01/01/2017",0,1653,0.220963294,3
"129",5003,0.235656523,"18/10/2009","1417","29/08/2013","12/10/2009",1,2009,-0.013237949,"29/03/2011",2011,527,527,"01/01/2017",1,1417,-0.248894472,1
"130",5050,0.290908396,"08/01/2010","NULL","NULL","31/12/2009",1,2010,0.038262975,"30/03/2011",2011,446,446,"01/01/2017",0,2558,-0.252645421,1
"131",5126,0.180177318,"12/03/2012","628","21/11/2013","03/03/2012",1,2012,0.021635494,"07/03/2013",2013,360,360,"01/01/2017",1,628,-0.158541824,2
"132",5207,0.128079809,"22/03/2011","1604","06/08/2015","16/03/2011",1,2011,0.024364715,"23/03/2012",2012,367,367,"01/01/2017",1,1604,-0.103715094,2
"133",5298,0.383297557,"08/01/2010","2041","06/08/2015","03/01/2010",1,2010,-0.02868024,"28/03/2011",2011,444,444,"01/01/2017",1,2041,-0.411977797,1
"134",5315,0.228225845,"22/12/2008","2285","25/03/2015","21/12/2008",1,2008,-0.026458321,"16/03/2010",2010,449,449,"01/01/2017",1,2285,-0.254684166,1
"135",5330,-0.157866796,"25/08/2010","NULL","NULL","16/08/2010",2,2010,-0.076328436,"14/04/2011",2011,232,232,"01/01/2017",0,2330,0.08153836,3
"136",5330,-0.228332723,"17/08/2010","NULL","NULL","16/08/2010",1,2010,-0.076328436,"14/04/2011",2011,240,240,"01/01/2017",0,2330,0.152004287,3
"137",5338,0.075200261,"18/12/2009","1776","26/10/2014","15/12/2009",1,2009,0.093353563,"30/03/2011",2011,467,467,"01/01/2017",1,1776,0.018153302,3
"138",5501,0.323184644,"03/12/2009","1610","25/04/2014","27/11/2009",1,2009,0.13934555,"30/03/2011",2011,482,482,"01/01/2017",1,1610,-0.183839094,2
"139",5552,0.175628407,"13/04/2010","NULL","NULL","10/04/2010",1,2010,-0.008898837,"14/04/2011",2011,366,366,"01/01/2017",0,2458,-0.184527244,2
"140",5568,0.046843008,"16/09/2011","958","25/04/2014","10/09/2011",1,2011,-0.264130393,"07/03/2013",2013,538,538,"01/01/2017",1,958,-0.310973401,1
"141",5654,-0.005324611,"16/02/2010","1532","25/04/2014","13/02/2010",1,2010,-0.083109676,"14/04/2011",2011,422,422,"01/01/2017",1,1532,-0.077785065,2
"142",5672,0.099454389,"05/07/2012","501","15/11/2013","02/07/2012",1,2012,0.004546796,"07/03/2013",2013,245,245,"01/01/2017",1,501,-0.094907593,2
"143",5709,-0.056742878,"16/07/2009","NULL","NULL","08/07/2009",1,2009,-0.162547971,"16/03/2010",2010,243,243,"01/01/2017",0,2734,-0.105805093,2
"144",5742,0.180421543,"14/12/2009","2437","11/08/2016","09/12/2009",1,2009,0.172639622,"28/03/2011",2011,469,469,"01/01/2017",1,2437,-0.007781921,3
"145",5746,0.299188049,"05/04/2011","NULL","NULL","25/03/2011",1,2011,0.044144525,"23/03/2012",2012,353,353,"01/01/2017",0,2109,-0.255043524,1
"146",5751,0.173312236,"15/10/2010","NULL","NULL","11/10/2010",1,2010,0.062414814,"23/03/2012",2012,525,525,"01/01/2017",0,2274,-0.110897422,2
"147",5756,-0.070648461,"26/02/2010","1209","14/06/2013","21/02/2010",1,2010,-0.029159731,"14/04/2011",2011,412,412,"01/01/2017",1,1209,0.04148873,3
"148",5792,0.3111825,"21/07/2011","1384","01/05/2015","17/07/2011",1,2011,-0.146096835,"23/03/2012",2012,246,246,"01/01/2017",1,1384,-0.457279335,1
"149",5894,0.071163074,"08/05/2009","1341","05/01/2013","05/05/2009",1,2009,-0.041107227,"16/03/2010",2010,312,312,"01/01/2017",1,1341,-0.112270301,2
"150",5939,-0.261943837,"05/08/2010","1263","14/01/2014","31/07/2010",1,2010,-0.380498011,"14/04/2011",2011,252,252,"01/01/2017",1,1263,-0.118554174,2
"151",6029,-0.044189703,"21/07/2011","NULL","NULL","16/07/2011",1,2011,-0.212900493,"23/03/2012",2012,246,246,"01/01/2017",0,1996,-0.16871079,2
"152",6101,0.159025799,"12/11/2010","909","01/05/2013","04/11/2010",1,2010,0.077022958,"23/03/2012",2012,497,497,"01/01/2017",1,909,-0.082002841,2
"153",6118,0.471620438,"17/11/2009","NULL","NULL","13/11/2009",1,2009,0.105988803,"28/03/2011",2011,496,496,"01/01/2017",0,2606,-0.365631635,1
"154",6123,-0.031044753,"22/02/2011","NULL","NULL","14/02/2011",1,2011,-0.303740287,"23/03/2012",2012,395,395,"01/01/2017",0,2148,-0.272695534,1
"155",6128,0.358338815,"30/05/2011","2001","16/11/2016","26/05/2011",1,2011,-0.004868021,"23/03/2012",2012,298,298,"01/01/2017",1,2001,-0.363206836,1
"156",6131,0.173831942,"03/12/2009","1371","29/08/2013","27/11/2009",1,2009,-0.03367832,"28/03/2011",2011,480,480,"01/01/2017",1,1371,-0.207510262,1
"157",6140,-0.064479893,"02/08/2010","1045","06/06/2013","27/07/2010",1,2010,-0.26540509,"14/04/2011",2011,255,255,"01/01/2017",1,1045,-0.200925197,1
"158",6203,0.058730524,"05/04/2011","1960","11/08/2016","31/03/2011",1,2011,-0.032523067,"23/03/2012",2012,353,353,"01/01/2017",1,1960,-0.091253591,2
"159",6236,0.201480164,"25/09/2008","2583","15/10/2015","18/09/2008",1,2008,-0.076417462,"16/03/2010",2010,537,537,"01/01/2017",1,2583,-0.277897626,1
"160",6365,0.127308284,"09/02/2009","2623","15/04/2016","08/02/2009",1,2009,0.05342666,"16/03/2010",2010,400,400,"01/01/2017",1,2623,-0.073881624,2
"161",6389,0.461098633,"26/01/2009","1940","16/05/2014","22/01/2009",1,2009,0.137194897,"16/03/2010",2010,414,414,"01/01/2017",1,1940,-0.323903736,1
"162",6431,0.096484839,"01/06/2009","2060","16/01/2015","27/05/2009",1,2009,0.091669494,"16/03/2010",2010,288,288,"01/01/2017",1,2060,-0.004815345,3
